sense_id,headword,pos,selected_sense_en,definition_en,definition_zh,curriculum_band,cefr_level,vocabulary_role,primary_topic_id,secondary_topics,pronunciation_ipa_us,american_audio_file,ecdict_tags,ecdict_collins,ecdict_bnc_rank,ecdict_frq_rank,source_definition,source_translation,copyright_status,license_review,human_review,review_reason,review_status,reviewed_by,review_basis
family_n_1,family,n.,group consisting of one or two parents and their children,group consisting of one or two parents and their children,家庭；家人,4.0,A1,foundation,daily_life_people_and_family,,/ˈfæməli/,family_us.mp3,zk gk ielts,5,200,147,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
parent_n_1,parent,n.,person’s father or mother,person’s father or mother,父亲或母亲,4.0,A1,foundation,daily_life_people_and_family,,/ˈperənt/,parent_us.mp3,zk gk ielts,5,494,327,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
mother_n_1,mother,n.,female parent of a child or animal; a person who is acting as a mother to a child,female parent of a child or animal; a person who is acting as a mother to a child,母亲；妈妈,4.0,A1,foundation,daily_life_people_and_family,,/ˈmʌðər/,mother_us.mp3,zk gk ielts,5,306,229,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
child_n_1,child,n.,young human who is not yet an adult,young human who is not yet an adult,儿童；孩子,4.0,A1,foundation,daily_life_people_and_family,,/tʃaɪld/,child_us.mp3,zk gk ielts,5,114,115,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
father_n_1,father,n.,male parent of a child or an animal; a person who is acting as the father to a child,male parent of a child or an animal; a person who is acting as the father to a child,父亲；爸爸,4.0,A1,foundation,daily_life_people_and_family,,/ˈfɑːðər/,father_us.mp3,zk gk,5,364,267,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
son_n_1,son,n.,person’s male child,person’s male child,儿子,4.0,A1,foundation,daily_life_people_and_family,,/sʌn/,son_us.mp3,zk gk,5,599,481,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
daughter_n_1,daughter,n.,person’s female child,person’s female child,女儿,4.0,A1,foundation,daily_life_people_and_family,,/ˈdɔːtər/,daughter_us.mp3,zk gk,5,871,634,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
baby_n_1,baby,n.,very young child or animal,very young child or animal,婴儿,4.0,A1,foundation,daily_life_people_and_family,,/ˈbeɪbi/,baby_us.mp3,zk gk,4,869,588,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
brother_n_1,brother,n.,boy or man who has the same parents as another person,boy or man who has the same parents as another person,兄弟；哥哥；弟弟,4.0,A1,foundation,daily_life_people_and_family,,/ˈbrʌðər/,brother_us.mp3,zk gk,5,827,614,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
dad_n_1,dad,n.,father,father,爸爸,4.0,A1,foundation,daily_life_people_and_family,,/dæd/,dad_us.mp3,zk,3,1311,1814,OXFORD_REPO,ECDICT,private_study_only,T,F,,approved,codex_content_review_v1,"Sense boundary, American usage, Chinese gloss, CEFR suitability, and curriculum role reviewed against ECDICT/Oxford source data."
