headword,ecdict_phonetic,ecdict_pos_raw,ecdict_primary_pos,ecdict_definition_en,ecdict_translation_zh,ecdict_collins,ecdict_oxford,ecdict_tags,ecdict_bnc_rank,ecdict_frq_rank,ecdict_exchange,oxford_cefr_levels,oxford_pos_values,oxford_entry_count,webster_fallback_available,source_coverage,human_review,review_reason
a,ei,,,n. the 1st letter of the Roman alphabet,第一个字母 A; 一个; 第一的\r,5,T,zk gk,5,5,,A1,indefinite article,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aa,ɔ:,,,n. a dry form of lava resembling clinkers,"[计] 绝对地址, 农业自动化, 自动应答",,F,,9087,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
abandon,ә'bændәn,,,n. the trait of lacking restraint or control; reckless freedom from inhibition or worry,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵",3,T,gk cet4 cet6 ky toefl gre,2057,2182,d:abandoned/p:abandoned/i:abandoning/3:abandons,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abandoned,ә'bændәnd,,,s. forsaken by owner or inhabitants,"a. 被抛弃的, 无约束的, 恣意放荡的",3,T,toefl,9617,6184,0:abandon/1:dp/p:abandoned/d:abandoned,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abandonment,ә'bændәmәnt,,,n. the act of giving something up,"n. 放弃, 抛弃, 放纵",,F,toefl,8591,9919,s:abandonments,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abbey,'æbi,,,n. a church associated with a monastery or convent,n. 大修道院,2,F,,3572,17783,s:abbeys,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abbot,'æbәt,,,n. the superior of an abbey of monks,"n. 男修道院院长, 大寺院男住持",,F,,9276,21439,s:abbots,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abdomen,'æbdәmen,,,n. the region of the body of a vertebrate between the thorax and the pelvis,n. 腹部,1,F,ky,12361,9711,s:abdomens,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abdominal,æb'dɒminәl,,,n. the muscles of the abdomen,"a. 腹部的, 有腹鳍的",,F,,9330,10520,s:abdominals,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
aberdeen,",æbә'di:n",,,n. a town in western Washington,n. 亚伯丁（英国苏格兰一郡 ）；苏格兰粗毛猎狐狗（等于Aberdeenterrier）,,F,,4626,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
abide,ә'baid,,,v dwell,"vi. 停留, 遵守, 居留, 继续下去",1,F,cet6 ky toefl gre,9496,8457,i:abiding/3:abides/p:abided/d:abided,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ability,ә'biliti,,,n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,"n. 能力, 才干",4,T,zk gk cet4 ky toefl ielts,946,783,s:abilities,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
able,'eibl,,,a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something,"a. 能干的, 能够的",5,T,zk gk,295,385,,A2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abnormal,æb'nɒ:mәl,,,a. not normal; not typical or usual or regular or conforming to a norm,"a. 反常的, 不规则的, 变态的, 畸形的",1,F,gk cet4 cet6 ky toefl ielts,6548,8241,s:abnormals,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abnormality,.æbnɒ:'mæliti,,,n. an abnormal physical condition resulting from defective genes or developmental deficiencies,"n. 反常, 畸形, 变态",1,F,,7380,11416,s:abnormalities,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
aboard,ә'bɒ:d,,,"r. on a ship, train, plane or other vehicle","adv. 在船上, 在火车上, 在飞机上",2,F,gk cet4 ky toefl,7625,4984,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abolish,ә'bɒliʃ,,,v. do away with,"vt. 废止, 革除, 消灭",2,F,gk cet6 ky toefl ielts gre,3736,7490,d:abolished/i:abolishing/p:abolished/3:abolishes,C1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abolition,.æbәu'liʃәn,,,n. the act of abolishing a system or practice or institution (especially abolishing slavery),"n. 废除, 废奴运动",,F,toefl gre,5158,13737,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
abortion,ә'bɒ:ʃәn,,,n. termination of pregnancy,"n. 流产, 堕胎, 失败, 夭折, 中止",3,F,gk ielts,4341,1969,s:abortions,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
abound,ә'baund,,,v. be abundant or plentiful; exist in large quantities,"vi. 大量存在, 富于, 充满",1,F,ky toefl ielts gre,8645,7676,3:abounds/p:abounded/i:abounding/d:abounded,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
