candidate_id,headword,pos_primary,topic_id,ielts_band,ecdict_ielts_tag,cefr_level,collins_freq,frequency_rank_ecdict,status,exclusion_reason,human_review,notes
pf_001,family,n.,daily_life_people_and_family,4.0,T,A1,5,150,approved,,F,Core family noun. Very high frequency. Primary production word for L1.
pf_002,parent,n.,daily_life_people_and_family,4.0,T,A1,4,300,approved,,F,Core family role noun. High frequency. Active teaching for L1.
pf_003,generation,n.,daily_life_people_and_family,4.0,T,B1,4,500,approved,,F,Cross-topic word useful in family and society essays. B1 but introduced at L2.
pf_004,marriage,n.,daily_life_people_and_family,4.0,T,A2,3,600,approved,,F,Key family event noun. Common in Speaking Part 2 and Task 2.
pf_005,relationship,n.,daily_life_people_and_family,4.0,T,B1,4,400,approved,,F,High-value cross-topic noun. Essential for family and society topics.
pf_006,tradition,n.,daily_life_people_and_family,4.0,T,B1,3,700,approved,,F,Culture and family vocabulary. Very common in Chinese learner IELTS essays.
pf_007,role,n.,daily_life_people_and_family,4.0,T,A2,4,350,approved,,T,Polysemous (family role vs theatre role vs role-play). Teach family/social sense first. Needs sense disambiguation review.
pf_008,responsibility,n.,daily_life_people_and_family,4.0,T,B1,4,500,approved,,F,High-priority productive word for family and society Task 2 essays.
pf_009,elderly,adj.,daily_life_people_and_family,4.0,T,B1,3,800,approved,,F,Also used as noun (the elderly). Important for ageing and family topics.
pf_010,independent,adj.,daily_life_people_and_family,4.0,T,B1,4,450,approved,,F,Key descriptor for young adults and life stages. High essay collocation value.
pf_011,support,v.,daily_life_people_and_family,4.0,T,A2,5,200,approved,,T,Highly polysemous (emotional support / financial support / support an argument). Teaching family/social sense. Human review needed for sense boundary.
pf_012,raise,v.,daily_life_people_and_family,4.0,T,B1,5,250,approved,,T,Very polysemous (raise children / raise money / raise a question). Teaching child-rearing sense. Mandatory review.
pf_013,influence,n.,daily_life_people_and_family,4.0,T,B1,4,450,approved,,F,High-frequency cross-topic word. Noun sense taught here; verb sense to be introduced later.
pf_014,community,n.,daily_life_people_and_family,4.0,T,B1,4,350,approved,,F,Essential for family and society essays. Cross-topic use in education environment and society.
pf_015,individual,n.,daily_life_people_and_family,4.0,T,B1,4,300,approved,,F,Cross-topic abstract noun. Also used as adjective. Noun sense primary for L2.
pf_016,culture,n.,daily_life_people_and_family,4.0,T,B1,4,450,approved,,F,Core topic word for family traditions and values. Very high essay frequency for Chinese learners.
pf_017,value,n.,daily_life_people_and_family,4.0,T,B1,5,200,approved,,T,Teaching moral/social sense (values = beliefs about what matters). Polysemous (monetary value / to value sth). Needs sense boundary review.
pf_018,attitude,n.,daily_life_people_and_family,4.0,T,B1,4,500,approved,,F,Common in task 2 arguments and Speaking Part 3. Cross-topic word taught in people/family context.
pf_019,behavior,n.,daily_life_people_and_family,4.0,T,B1,4,350,approved,,F,American spelling (not behaviour). Core psychology and family topic word.
pf_020,conflict,n.,daily_life_people_and_family,4.0,T,B2,4,550,approved,,T,Polysemous (family conflict / armed conflict). Teaching interpersonal sense here. Human review for sense boundary and potential sensitive content.
pf_021,adult,n.,daily_life_people_and_family,4.0,T,A2,3,400,pending,,F,Good candidate for L4. Concrete noun for life stage. High frequency in family context.
pf_022,couple,n.,daily_life_people_and_family,4.0,F,A2,3,600,pending,,F,Common in marriage and relationship contexts. Pending for L4 or L5.
pf_023,divorce,n.,daily_life_people_and_family,4.0,T,B1,3,800,pending,,F,Important family change vocabulary. Pending for L4. Also used as verb.
pf_024,relative,n.,daily_life_people_and_family,4.0,F,B1,3,700,pending,,F,Useful family vocabulary (relatives = family members). Pending for L4.
pf_025,household,n.,daily_life_people_and_family,4.0,T,B1,3,600,pending,,F,Common in statistics and family structure context. Pending for L4.
pf_026,neighbor,n.,daily_life_people_and_family,4.0,F,A2,3,750,pending,,F,American spelling (not neighbour). Community context. Pending for L4.
pf_027,partner,n.,daily_life_people_and_family,4.0,F,B1,4,500,pending,,T,Polysemous (romantic partner / business partner). Human review for sense disambiguation before teaching.
pf_028,sibling,n.,daily_life_people_and_family,4.0,F,B2,2,1200,pending,,F,Formal term for brother/sister. Useful in family structure discussion. Lower frequency for L1-3 range.
pf_029,caregiver,n.,daily_life_people_and_family,4.0,F,B2,2,1500,pending,,F,Important in elderly care context. Pending for higher level.
pf_030,bond,n.,daily_life_people_and_family,4.0,F,B2,3,900,pending,,T,Emotional bond in family context. Polysemous (financial bond). Human review needed.
pf_031,ancestor,n.,daily_life_people_and_family,4.0,F,B1,2,1000,pending,,F,Heritage and tradition context. Common in Chinese IELTS essays.
pf_032,heritage,n.,daily_life_people_and_family,4.0,T,B2,3,900,pending,,F,Culture and family tradition context. Pending for L5 or L6.
pf_033,identity,n.,daily_life_people_and_family,4.0,T,B2,4,600,pending,,F,Important for culture and individual topics. Pending for L5.
pf_034,loyalty,n.,daily_life_people_and_family,4.0,T,B2,3,1000,pending,,F,Family values context. Pending for L5 or L6.
pf_035,affection,n.,daily_life_people_and_family,4.0,F,B2,3,1100,pending,,F,Emotional vocabulary for family relationships. Pending for L5.
pf_036,nurture,v.,daily_life_people_and_family,4.0,F,B2,2,1300,pending,,F,Raise and care for children. Lower frequency than raise. Pending for L5+.
pf_037,guardian,n.,daily_life_people_and_family,4.0,F,B1,2,1100,pending,,F,Legal/family context (parent or guardian). Pending for L4 or L5.
pf_038,adoption,n.,daily_life_people_and_family,4.0,F,B2,2,1400,pending,,F,Family structure topic. Pending for L5+.
pf_039,inheritance,n.,daily_life_people_and_family,4.0,F,B2,3,1100,pending,,T,Polysemous (property inheritance / genetic inheritance). Needs sense review.
pf_040,ethnic,adj.,daily_life_people_and_family,4.0,T,B2,3,800,pending,,T,Community and culture context. Sensitive category word. Human review before teaching.
pf_041,diverse,adj.,daily_life_people_and_family,4.0,T,B2,3,700,pending,,F,Community and culture context. Common in Task 2 arguments.
pf_042,minority,n.,daily_life_people_and_family,4.0,T,B2,3,800,pending,,T,Society and community context. Potentially sensitive. Human review before teaching.
pf_043,member,n.,daily_life_people_and_family,4.0,F,A2,4,400,pending,,F,Family member / community member. Very common support word. Low risk.
pf_044,society,n.,daily_life_people_and_family,4.0,T,B1,5,300,pending,,F,Broad cross-topic noun. Will be primary word in Society topics. Pending here as support word.
pf_045,extended,adj.,daily_life_people_and_family,4.0,F,B1,3,600,pending,,F,Used in collocation extended family. Teach as collocation not standalone adjective.
pf_046,nuclear,adj.,daily_life_people_and_family,4.0,F,B2,2,700,pending,,T,Used in nuclear family collocation. Also means atomic/nuclear energy. High polysemy risk. Human review.
pf_047,connection,n.,daily_life_people_and_family,4.0,F,B1,4,500,pending,,F,Similar to relationship and bond. Useful cross-topic vocabulary. Pending for L4.
pf_048,grandparent,n.,daily_life_people_and_family,4.0,F,A2,3,700,pending,,F,Common family member. A2 level so may be known but useful as review word in context.
pf_049,upbringing,n.,daily_life_people_and_family,4.0,F,B2,2,1200,pending,,F,How someone was raised. Useful in Task 2 arguments about family and education.
pf_050,domestic,adj.,daily_life_people_and_family,4.0,T,B2,3,700,pending,,T,Domestic life and household. Also appears in domestic violence context. Sensitive flag needed. Human review.
pf_051,social,adj.,daily_life_people_and_family,4.0,T,A2,5,200,pending,,F,Cross-topic high-frequency adjective. Will appear across many topics. Pending as support word.
pf_052,dependence,n.,daily_life_people_and_family,4.0,F,B2,3,900,pending,,F,Noun form of depend. Useful contrast with independence. Pending for L4 or L5.
pf_053,isolation,n.,daily_life_people_and_family,4.0,T,B2,3,1000,pending,,F,Social isolation especially for elderly. Common Task 2 topic. Pending for L5.
pf_054,welfare,n.,daily_life_people_and_family,4.0,T,B2,3,700,pending,,F,Social welfare and family support. Cross-topic word. Pending for L5+.
pf_055,cooperation,n.,daily_life_people_and_family,4.0,T,B1,3,700,pending,,F,Family and community cooperation. Cross-topic word useful in many essays.
pf_056,sacrifice,n.,daily_life_people_and_family,4.0,F,B2,3,900,pending,,F,Family context (parents sacrifice for children). Common in Chinese IELTS essays.
pf_057,commitment,n.,daily_life_people_and_family,4.0,F,B2,3,800,pending,,F,Relationship and marriage context. Useful for Task 2 arguments.
pf_058,discipline,n.,daily_life_people_and_family,4.0,T,B2,3,800,pending,,T,Child-rearing sense (parental discipline). Also means academic field. Polysemous. Human review.
pf_059,pension,n.,daily_life_people_and_family,4.0,F,B1,3,900,pending,,F,Elderly and retirement context. Cross-topic with Economy.
pf_060,workforce,n.,daily_life_people_and_family,4.0,T,B2,3,700,pending,,F,Cross-topic with Work. Relevant to family income context. Pending for L5+.
pf_061,stable,adj.,daily_life_people_and_family,4.0,T,B1,3,600,pending,,F,Stable family / stable relationship. Common collocation. Pending for L4.
pf_062,nuclear family,n.,daily_life_people_and_family,4.0,F,B2,2,0,pending,,F,Fixed collocation. Store as collocation entry not standalone headword.
pf_063,extended family,n.,daily_life_people_and_family,4.0,F,B2,2,0,pending,,F,Fixed collocation. Store as collocation entry not standalone headword.
pf_064,single parent,n.,daily_life_people_and_family,4.0,F,B2,2,0,pending,,F,Fixed collocation increasingly common in IELTS topics. Store as collocation.
pf_065,well-being,n.,daily_life_people_and_family,4.0,T,B2,3,700,pending,,F,Family and mental health cross-topic word. American hyphenation standard. Pending for L4+.
pf_066,mother,n.,daily_life_people_and_family,4.0,T,A1,5,120,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study.
pf_067,father,n.,daily_life_people_and_family,4.0,T,A1,5,150,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study.
pf_068,son,n.,daily_life_people_and_family,4.0,F,A1,5,200,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study.
pf_069,daughter,n.,daily_life_people_and_family,4.0,F,A1,5,220,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study.
pf_070,brother,n.,daily_life_people_and_family,4.0,F,A1,5,250,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study.
pf_071,sister,n.,daily_life_people_and_family,4.0,F,A1,5,280,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study.
pf_072,husband,n.,daily_life_people_and_family,4.0,F,A1,4,350,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study.
pf_073,wife,n.,daily_life_people_and_family,4.0,F,A1,4,380,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study.
pf_074,baby,n.,daily_life_people_and_family,4.0,F,A1,4,400,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study.
pf_075,child,n.,daily_life_people_and_family,4.0,T,A1,5,100,excluded,A1 core word assumed known before IELTS prep; use as support vocabulary only,F,Chinese learners know this before starting IELTS study. Note irregular plural: children.
pf_076,friend,n.,daily_life_people_and_family,4.0,F,A1,5,130,excluded,A1 core word too generic for people/family primary teaching. Appears across all topics as support word.,F,Will appear as support vocabulary throughout the curriculum.
pf_077,genealogy,n.,daily_life_people_and_family,4.0,F,C1,1,2500,excluded,Too advanced and low-frequency for IELTS band 4.0 levels,F,Academic word appropriate only for C1+ or a specialist reading passage.
pf_078,patriarch,n.,daily_life_people_and_family,4.0,F,C1,1,2800,excluded,Too advanced and low-frequency for IELTS band 4.0 levels,F,C1+ academic vocabulary. Not needed in L1-3 scope.
pf_079,matriarch,n.,daily_life_people_and_family,4.0,F,C1,1,3000,excluded,Too advanced and low-frequency for IELTS band 4.0 levels,F,C1+ academic vocabulary. Not needed in L1-3 scope.
pf_080,kinship,n.,daily_life_people_and_family,4.0,F,B2,1,2000,excluded,Too formal and infrequent for IELTS band 4.0 primary teaching; store as collocation reference only,T,Academic anthropology term. Rare in IELTS exam contexts.
