assignment_id,level_number,sense_id,headword,topic_id,placement_type,order_in_level,vocabulary_role,human_review,review_reason
l001_family_n_1,1,family_n_1,family,daily_life_people_and_family,new,1,foundation,F,
l001_parent_n_1,1,parent_n_1,parent,daily_life_people_and_family,new,2,foundation,F,
l001_mother_n_1,1,mother_n_1,mother,daily_life_people_and_family,new,3,foundation,F,
l001_child_n_1,1,child_n_1,child,daily_life_people_and_family,new,4,foundation,F,
l001_father_n_1,1,father_n_1,father,daily_life_people_and_family,new,5,foundation,F,
l001_son_n_1,1,son_n_1,son,daily_life_people_and_family,new,6,foundation,F,
l001_daughter_n_1,1,daughter_n_1,daughter,daily_life_people_and_family,new,7,foundation,F,
l001_baby_n_1,1,baby_n_1,baby,daily_life_people_and_family,new,8,foundation,F,
l001_brother_n_1,1,brother_n_1,brother,daily_life_people_and_family,new,9,foundation,F,
l001_dad_n_1,1,dad_n_1,dad,daily_life_people_and_family,new,10,foundation,F,
l001_husband_n_1,1,husband_n_1,husband,daily_life_people_and_family,new,11,foundation,F,
l001_wife_n_1,1,wife_n_1,wife,daily_life_people_and_family,new,12,foundation,F,
l001_sister_n_1,1,sister_n_1,sister,daily_life_people_and_family,new,13,foundation,F,
l001_couple_n_1,1,couple_n_1,couple,daily_life_people_and_family,new,14,foundation,F,
l001_married_adj_1,1,married_adj_1,married,daily_life_people_and_family,new,15,foundation,F,
l001_adult_n_1,1,adult_n_1,adult,daily_life_people_and_family,new,16,foundation,F,
l001_person_n_1,1,person_n_1,person,daily_life_people_and_family,new,17,foundation,F,
l001_aunt_n_1,1,aunt_n_1,aunt,daily_life_people_and_family,new,18,foundation,F,
l001_boy_n_1,1,boy_n_1,boy,daily_life_people_and_family,new,19,foundation,F,
l001_girl_n_1,1,girl_n_1,girl,daily_life_people_and_family,new,20,foundation,F,
l001_marriage_n_1,1,marriage_n_1,marriage,daily_life_people_and_family,new,21,foundation,F,
l001_uncle_n_1,1,uncle_n_1,uncle,daily_life_people_and_family,new,22,foundation,F,
l001_cousin_n_1,1,cousin_n_1,cousin,daily_life_people_and_family,new,23,foundation,F,
l001_man_n_1,1,man_n_1,man,daily_life_people_and_family,new,24,foundation,F,
l001_woman_n_1,1,woman_n_1,woman,daily_life_people_and_family,new,25,foundation,F,
l001_age_n_1,1,age_n_1,age,daily_life_people_and_family,new,26,foundation,F,
l001_relative_n_1,1,relative_n_1,relative,daily_life_people_and_family,new,27,foundation,F,
l001_grandmother_n_1,1,grandmother_n_1,grandmother,daily_life_people_and_family,new,28,foundation,F,
l001_people_n_1,1,people_n_1,people,daily_life_people_and_family,new,29,foundation,F,
l001_grandfather_n_1,1,grandfather_n_1,grandfather,daily_life_people_and_family,new,30,foundation,F,
l001_friend_n_1,1,friend_n_1,friend,daily_life_people_and_family,new,31,foundation,F,
l001_kid_n_1,1,kid_n_1,kid,daily_life_people_and_family,new,32,foundation,F,
l001_mom_n_1,1,mom_n_1,mom,daily_life_people_and_family,new,33,foundation,T,Check sense/POS/level placement or missing cross-source evidence.
l001_name_n_1,1,name_n_1,name,daily_life_people_and_family,new,34,foundation,F,
l001_young_adj_1,1,young_adj_1,young,daily_life_people_and_family,new,35,foundation,F,
l001_grandparent_n_1,1,grandparent_n_1,grandparent,daily_life_people_and_family,new,36,foundation,F,
l001_old_adj_1,1,old_adj_1,old,daily_life_people_and_family,new,37,foundation,F,
l001_partner_n_1,1,partner_n_1,partner,daily_life_people_and_family,new,38,foundation,F,
l001_teenager_n_1,1,teenager_n_1,teenager,daily_life_people_and_family,new,39,foundation,F,
l001_twin_n_1,1,twin_n_1,twin,daily_life_people_and_family,new,40,foundation,F,
l001_grandson_n_1,1,grandson_n_1,grandson,daily_life_people_and_family,new,41,foundation,T,Check sense/POS/level placement or missing cross-source evidence.
l001_granddaughter_n_1,1,granddaughter_n_1,granddaughter,daily_life_people_and_family,new,42,foundation,T,Check sense/POS/level placement or missing cross-source evidence.
l001_nephew_n_1,1,nephew_n_1,nephew,daily_life_people_and_family,new,43,foundation,T,Check sense/POS/level placement or missing cross-source evidence.
