evidence_id,sense_id,headword,quoted_text,matched_span,source_title,source_url_or_locator,usage_analysis,paper_types,license,copyright_status,human_review,review_reason,review_status
oxford_family_n_1,family_n_1,family,I introduced Neil to the other members of my family.,family,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_parent_n_1,parent_n_1,parent,He's still living with his parents.,parent,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_mother_n_1,mother_n_1,mother,I want to buy a present for my mother and father.,mother,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_child_n_1,child_n_1,child,a child of 3/a 3-year-old child,child,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_father_n_1,father_n_1,father,My father died in 2017.,father,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_son_n_1,son_n_1,son,their four-year-old son,son,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_daughter_n_1,daughter_n_1,daughter,We have two sons and a daughter.,daughter,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_baby_n_1,baby_n_1,baby,The baby's crying!,baby,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_brother_n_1,brother_n_1,brother,We're brothers.,brother,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
oxford_dad_n_1,dad_n_1,dad,That's my dad over there.,dad,Oxford 3000/5000 repository dataset,https://github.com/winterdl/oxford-5000-vocabulary-audio-definition,Reviewed as private study evidence for the selected sense and used only to guide original app-authored examples.,,not_declared,private_study_only,F,,approved
