option_id,question_id,option_text,target_sense_id,is_correct,sort_order,human_review
opt_q_1_family_n_1_meaning_7e81e31103d2_1,q_1_family_n_1_meaning_7e81e31103d2,grandmother,grandmother_n_1,F,1,F
opt_q_1_family_n_1_meaning_7e81e31103d2_2,q_1_family_n_1_meaning_7e81e31103d2,grandparent,grandparent_n_1,F,2,F
opt_q_1_family_n_1_meaning_7e81e31103d2_3,q_1_family_n_1_meaning_7e81e31103d2,family,family_n_1,T,3,F
opt_q_1_family_n_1_meaning_7e81e31103d2_4,q_1_family_n_1_meaning_7e81e31103d2,sister,sister_n_1,F,4,F
opt_q_1_family_n_1_context_6e1f3a5cf167_1,q_1_family_n_1_context_6e1f3a5cf167,家庭；家人,family_n_1,T,1,F
opt_q_1_family_n_1_context_6e1f3a5cf167_2,q_1_family_n_1_context_6e1f3a5cf167,祖父母；外祖父母,grandparent_n_1,F,2,F
opt_q_1_family_n_1_context_6e1f3a5cf167_3,q_1_family_n_1_context_6e1f3a5cf167,祖母；外祖母,grandmother_n_1,F,3,F
opt_q_1_family_n_1_context_6e1f3a5cf167_4,q_1_family_n_1_context_6e1f3a5cf167,姐妹；姐姐；妹妹,sister_n_1,F,4,F
opt_q_1_parent_n_1_meaning_88d11e09092a_1,q_1_parent_n_1_meaning_88d11e09092a,parent,parent_n_1,T,1,F
opt_q_1_parent_n_1_meaning_88d11e09092a_2,q_1_parent_n_1_meaning_88d11e09092a,relative,relative_n_1,F,2,F
opt_q_1_parent_n_1_meaning_88d11e09092a_3,q_1_parent_n_1_meaning_88d11e09092a,nephew,nephew_n_1,F,3,F
opt_q_1_parent_n_1_meaning_88d11e09092a_4,q_1_parent_n_1_meaning_88d11e09092a,people,people_n_1,F,4,F
opt_q_1_parent_n_1_context_d107f6ae84bd_1,q_1_parent_n_1_context_d107f6ae84bd,亲戚,relative_n_1,F,1,F
opt_q_1_parent_n_1_context_d107f6ae84bd_2,q_1_parent_n_1_context_d107f6ae84bd,人们,people_n_1,F,2,F
opt_q_1_parent_n_1_context_d107f6ae84bd_3,q_1_parent_n_1_context_d107f6ae84bd,侄子；外甥,nephew_n_1,F,3,F
opt_q_1_parent_n_1_context_d107f6ae84bd_4,q_1_parent_n_1_context_d107f6ae84bd,父亲或母亲,parent_n_1,T,4,F
opt_q_1_mother_n_1_meaning_b7c3cd9e0081_1,q_1_mother_n_1_meaning_b7c3cd9e0081,granddaughter,granddaughter_n_1,F,1,F
opt_q_1_mother_n_1_meaning_b7c3cd9e0081_2,q_1_mother_n_1_meaning_b7c3cd9e0081,mother,mother_n_1,T,2,F
opt_q_1_mother_n_1_meaning_b7c3cd9e0081_3,q_1_mother_n_1_meaning_b7c3cd9e0081,twin,twin_n_1,F,3,F
opt_q_1_mother_n_1_meaning_b7c3cd9e0081_4,q_1_mother_n_1_meaning_b7c3cd9e0081,relative,relative_n_1,F,4,F
opt_q_1_mother_n_1_context_ddc028372576_1,q_1_mother_n_1_context_ddc028372576,孙女；外孙女,granddaughter_n_1,F,1,F
opt_q_1_mother_n_1_context_ddc028372576_2,q_1_mother_n_1_context_ddc028372576,亲戚,relative_n_1,F,2,F
opt_q_1_mother_n_1_context_ddc028372576_3,q_1_mother_n_1_context_ddc028372576,母亲；妈妈,mother_n_1,T,3,F
opt_q_1_mother_n_1_context_ddc028372576_4,q_1_mother_n_1_context_ddc028372576,双胞胎之一,twin_n_1,F,4,F
opt_q_1_child_n_1_meaning_8d7f1c72c343_1,q_1_child_n_1_meaning_8d7f1c72c343,father,father_n_1,F,1,F
opt_q_1_child_n_1_meaning_8d7f1c72c343_2,q_1_child_n_1_meaning_8d7f1c72c343,child,child_n_1,T,2,F
opt_q_1_child_n_1_meaning_8d7f1c72c343_3,q_1_child_n_1_meaning_8d7f1c72c343,uncle,uncle_n_1,F,3,F
opt_q_1_child_n_1_meaning_8d7f1c72c343_4,q_1_child_n_1_meaning_8d7f1c72c343,aunt,aunt_n_1,F,4,F
opt_q_1_child_n_1_context_0e7f458ee2d8_1,q_1_child_n_1_context_0e7f458ee2d8,父亲；爸爸,father_n_1,F,1,F
opt_q_1_child_n_1_context_0e7f458ee2d8_2,q_1_child_n_1_context_0e7f458ee2d8,叔叔；伯伯；舅舅；姨父,uncle_n_1,F,2,F
opt_q_1_child_n_1_context_0e7f458ee2d8_3,q_1_child_n_1_context_0e7f458ee2d8,姑妈；姨妈；伯母；婶母,aunt_n_1,F,3,F
opt_q_1_child_n_1_context_0e7f458ee2d8_4,q_1_child_n_1_context_0e7f458ee2d8,儿童；孩子,child_n_1,T,4,F
opt_q_1_father_n_1_meaning_dd72e7367d9f_1,q_1_father_n_1_meaning_dd72e7367d9f,girl,girl_n_1,F,1,F
opt_q_1_father_n_1_meaning_dd72e7367d9f_2,q_1_father_n_1_meaning_dd72e7367d9f,father,father_n_1,T,2,F
opt_q_1_father_n_1_meaning_dd72e7367d9f_3,q_1_father_n_1_meaning_dd72e7367d9f,relative,relative_n_1,F,3,F
opt_q_1_father_n_1_meaning_dd72e7367d9f_4,q_1_father_n_1_meaning_dd72e7367d9f,people,people_n_1,F,4,F
opt_q_1_father_n_1_context_552d3e575ce4_1,q_1_father_n_1_context_552d3e575ce4,人们,people_n_1,F,1,F
opt_q_1_father_n_1_context_552d3e575ce4_2,q_1_father_n_1_context_552d3e575ce4,亲戚,relative_n_1,F,2,F
opt_q_1_father_n_1_context_552d3e575ce4_3,q_1_father_n_1_context_552d3e575ce4,女孩,girl_n_1,F,3,F
opt_q_1_father_n_1_context_552d3e575ce4_4,q_1_father_n_1_context_552d3e575ce4,父亲；爸爸,father_n_1,T,4,F
opt_q_1_son_n_1_meaning_3bae50ac7df9_1,q_1_son_n_1_meaning_3bae50ac7df9,parent,parent_n_1,F,1,F
opt_q_1_son_n_1_meaning_3bae50ac7df9_2,q_1_son_n_1_meaning_3bae50ac7df9,son,son_n_1,T,2,F
opt_q_1_son_n_1_meaning_3bae50ac7df9_3,q_1_son_n_1_meaning_3bae50ac7df9,grandfather,grandfather_n_1,F,3,F
opt_q_1_son_n_1_meaning_3bae50ac7df9_4,q_1_son_n_1_meaning_3bae50ac7df9,couple,couple_n_1,F,4,F
opt_q_1_son_n_1_context_f5fbab304ddf_1,q_1_son_n_1_context_f5fbab304ddf,父亲或母亲,parent_n_1,F,1,F
opt_q_1_son_n_1_context_f5fbab304ddf_2,q_1_son_n_1_context_f5fbab304ddf,祖父；外祖父,grandfather_n_1,F,2,F
opt_q_1_son_n_1_context_f5fbab304ddf_3,q_1_son_n_1_context_f5fbab304ddf,夫妻；情侣,couple_n_1,F,3,F
