review_id,record_type,record_id,headword,priority,review_reason,human_review,review_status
review_family_n_1,word_sense,family_n_1,family,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_parent_n_1,word_sense,parent_n_1,parent,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_mother_n_1,word_sense,mother_n_1,mother,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_child_n_1,word_sense,child_n_1,child,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_father_n_1,word_sense,father_n_1,father,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_son_n_1,word_sense,son_n_1,son,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_dad_n_1,word_sense,dad_n_1,dad,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_husband_n_1,word_sense,husband_n_1,husband,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_wife_n_1,word_sense,wife_n_1,wife,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_sister_n_1,word_sense,sister_n_1,sister,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_couple_n_1,word_sense,couple_n_1,couple,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_married_adj_1,word_sense,married_adj_1,married,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_adult_n_1,word_sense,adult_n_1,adult,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_person_n_1,word_sense,person_n_1,person,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_aunt_n_1,word_sense,aunt_n_1,aunt,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_girl_n_1,word_sense,girl_n_1,girl,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_marriage_n_1,word_sense,marriage_n_1,marriage,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_uncle_n_1,word_sense,uncle_n_1,uncle,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_cousin_n_1,word_sense,cousin_n_1,cousin,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_man_n_1,word_sense,man_n_1,man,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_woman_n_1,word_sense,woman_n_1,woman,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_age_n_1,word_sense,age_n_1,age,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_relative_n_1,word_sense,relative_n_1,relative,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_grandmother_n_1,word_sense,grandmother_n_1,grandmother,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
review_people_n_1,word_sense,people_n_1,people,medium,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.,T,pending
