form_id,sense_id,headword,form_type,form_word,source,human_review,review_reason
family_n_1_form_1,family_n_1,family,plural,families,ECDICT.exchange,F,
parent_n_1_form_1,parent_n_1,parent,plural,parents,ECDICT.exchange,F,
mother_n_1_form_1,mother_n_1,mother,plural,mothers,ECDICT.exchange,F,
mother_n_1_form_2,mother_n_1,mother,present_participle,mothering,ECDICT.exchange,F,
mother_n_1_form_3,mother_n_1,mother,past,mothered,ECDICT.exchange,F,
mother_n_1_form_4,mother_n_1,mother,third_person_singular,mothers,ECDICT.exchange,F,
mother_n_1_form_5,mother_n_1,mother,past_participle,mothered,ECDICT.exchange,F,
child_n_1_form_1,child_n_1,child,plural,children,ECDICT.exchange,F,
father_n_1_form_1,father_n_1,father,plural,fathers,ECDICT.exchange,F,
father_n_1_form_2,father_n_1,father,past_participle,fathered,ECDICT.exchange,F,
father_n_1_form_3,father_n_1,father,present_participle,fathering,ECDICT.exchange,F,
father_n_1_form_4,father_n_1,father,past,fathered,ECDICT.exchange,F,
father_n_1_form_5,father_n_1,father,third_person_singular,fathers,ECDICT.exchange,F,
son_n_1_form_1,son_n_1,son,plural,sons,ECDICT.exchange,F,
daughter_n_1_form_1,daughter_n_1,daughter,plural,daughters,ECDICT.exchange,F,
baby_n_1_form_1,baby_n_1,baby,plural,babies,ECDICT.exchange,F,
baby_n_1_form_2,baby_n_1,baby,present_participle,babying,ECDICT.exchange,F,
baby_n_1_form_3,baby_n_1,baby,past,babied,ECDICT.exchange,F,
baby_n_1_form_4,baby_n_1,baby,third_person_singular,babies,ECDICT.exchange,F,
baby_n_1_form_5,baby_n_1,baby,past_participle,babied,ECDICT.exchange,F,
brother_n_1_form_1,brother_n_1,brother,plural,brothers,ECDICT.exchange,F,
dad_n_1_form_1,dad_n_1,dad,plural,dads,ECDICT.exchange,F,
husband_n_1_form_1,husband_n_1,husband,plural,husbands,ECDICT.exchange,F,
husband_n_1_form_2,husband_n_1,husband,present_participle,husbanding,ECDICT.exchange,F,
husband_n_1_form_3,husband_n_1,husband,past,husbanded,ECDICT.exchange,F,
husband_n_1_form_4,husband_n_1,husband,third_person_singular,husbands,ECDICT.exchange,F,
husband_n_1_form_5,husband_n_1,husband,past_participle,husbanded,ECDICT.exchange,F,
wife_n_1_form_1,wife_n_1,wife,plural,wives,ECDICT.exchange,F,
sister_n_1_form_1,sister_n_1,sister,plural,sisters,ECDICT.exchange,F,
couple_n_1_form_1,couple_n_1,couple,plural,couples,ECDICT.exchange,F,
couple_n_1_form_2,couple_n_1,couple,past,coupled,ECDICT.exchange,F,
couple_n_1_form_3,couple_n_1,couple,past_participle,coupled,ECDICT.exchange,F,
couple_n_1_form_4,couple_n_1,couple,present_participle,coupling,ECDICT.exchange,F,
couple_n_1_form_5,couple_n_1,couple,third_person_singular,couples,ECDICT.exchange,F,
married_adj_1_form_1,married_adj_1,married,lemma,marry,ECDICT.exchange,T,Confirm lemma relationship.
married_adj_1_form_2,married_adj_1,married,lemma_variant,pd,ECDICT.exchange,T,Confirm lemma relationship.
married_adj_1_form_3,married_adj_1,married,past_participle,married,ECDICT.exchange,F,
married_adj_1_form_4,married_adj_1,married,past,married,ECDICT.exchange,F,
adult_n_1_form_1,adult_n_1,adult,plural,adults,ECDICT.exchange,F,
person_n_1_form_1,person_n_1,person,plural,persons,ECDICT.exchange,F,
aunt_n_1_form_1,aunt_n_1,aunt,plural,aunts,ECDICT.exchange,F,
boy_n_1_form_1,boy_n_1,boy,plural,boys,ECDICT.exchange,F,
girl_n_1_form_1,girl_n_1,girl,plural,girls,ECDICT.exchange,F,
marriage_n_1_form_1,marriage_n_1,marriage,plural,marriages,ECDICT.exchange,F,
uncle_n_1_form_1,uncle_n_1,uncle,plural,uncles,ECDICT.exchange,F,
cousin_n_1_form_1,cousin_n_1,cousin,plural,cousins,ECDICT.exchange,F,
man_n_1_form_1,man_n_1,man,plural,men,ECDICT.exchange,F,
man_n_1_form_2,man_n_1,man,past_participle,manned,ECDICT.exchange,F,
man_n_1_form_3,man_n_1,man,present_participle,manning,ECDICT.exchange,F,
man_n_1_form_4,man_n_1,man,past,manned,ECDICT.exchange,F,
man_n_1_form_5,man_n_1,man,third_person_singular,mans,ECDICT.exchange,F,
woman_n_1_form_1,woman_n_1,woman,plural,women,ECDICT.exchange,F,
age_n_1_form_1,age_n_1,age,plural,ages,ECDICT.exchange,F,
age_n_1_form_2,age_n_1,age,past_participle,aged,ECDICT.exchange,F,
age_n_1_form_3,age_n_1,age,present_participle,ageing,ECDICT.exchange,F,
age_n_1_form_4,age_n_1,age,third_person_singular,ages,ECDICT.exchange,F,
age_n_1_form_5,age_n_1,age,past,aged,ECDICT.exchange,F,
relative_n_1_form_1,relative_n_1,relative,plural,relatives,ECDICT.exchange,F,
grandmother_n_1_form_1,grandmother_n_1,grandmother,plural,grandmothers,ECDICT.exchange,F,
people_n_1_form_1,people_n_1,people,plural,peoples,ECDICT.exchange,F,
people_n_1_form_2,people_n_1,people,present_participle,peopling,ECDICT.exchange,F,
people_n_1_form_3,people_n_1,people,past,peopled,ECDICT.exchange,F,
people_n_1_form_4,people_n_1,people,third_person_singular,peoples,ECDICT.exchange,F,
people_n_1_form_5,people_n_1,people,past_participle,peopled,ECDICT.exchange,F,
grandfather_n_1_form_1,grandfather_n_1,grandfather,plural,grandfathers,ECDICT.exchange,F,
friend_n_1_form_1,friend_n_1,friend,plural,friends,ECDICT.exchange,F,
kid_n_1_form_1,kid_n_1,kid,plural,kids,ECDICT.exchange,F,
kid_n_1_form_2,kid_n_1,kid,present_participle,kidding,ECDICT.exchange,F,
kid_n_1_form_3,kid_n_1,kid,past,kidded,ECDICT.exchange,F,
kid_n_1_form_4,kid_n_1,kid,third_person_singular,kids,ECDICT.exchange,F,
kid_n_1_form_5,kid_n_1,kid,past_participle,kidded,ECDICT.exchange,F,
mom_n_1_form_1,mom_n_1,mom,plural,moms,ECDICT.exchange,F,
name_n_1_form_1,name_n_1,name,plural,names,ECDICT.exchange,F,
name_n_1_form_2,name_n_1,name,past_participle,named,ECDICT.exchange,F,
name_n_1_form_3,name_n_1,name,past,named,ECDICT.exchange,F,
name_n_1_form_4,name_n_1,name,present_participle,naming,ECDICT.exchange,F,
name_n_1_form_5,name_n_1,name,third_person_singular,names,ECDICT.exchange,F,
young_adj_1_form_1,young_adj_1,young,comparative,younger,ECDICT.exchange,F,
young_adj_1_form_2,young_adj_1,young,superlative,youngest,ECDICT.exchange,F,
grandparent_n_1_form_1,grandparent_n_1,grandparent,plural,grandparents,ECDICT.exchange,F,
old_adj_1_form_1,old_adj_1,old,comparative,older,ECDICT.exchange,F,
old_adj_1_form_2,old_adj_1,old,superlative,oldest,ECDICT.exchange,F,
old_adj_1_form_3,old_adj_1,old,plural,olds,ECDICT.exchange,F,
partner_n_1_form_1,partner_n_1,partner,plural,partners,ECDICT.exchange,F,
partner_n_1_form_2,partner_n_1,partner,present_participle,partnering,ECDICT.exchange,F,
partner_n_1_form_3,partner_n_1,partner,past_participle,partnered,ECDICT.exchange,F,
partner_n_1_form_4,partner_n_1,partner,past,partnered,ECDICT.exchange,F,
partner_n_1_form_5,partner_n_1,partner,third_person_singular,partners,ECDICT.exchange,F,
teenager_n_1_form_1,teenager_n_1,teenager,plural,teenagers,ECDICT.exchange,F,
twin_n_1_form_1,twin_n_1,twin,plural,twins,ECDICT.exchange,F,
twin_n_1_form_2,twin_n_1,twin,past_participle,twinned,ECDICT.exchange,F,
twin_n_1_form_3,twin_n_1,twin,present_participle,twinning,ECDICT.exchange,F,
twin_n_1_form_4,twin_n_1,twin,third_person_singular,twins,ECDICT.exchange,F,
twin_n_1_form_5,twin_n_1,twin,past,twinned,ECDICT.exchange,F,
grandson_n_1_form_1,grandson_n_1,grandson,plural,grandsons,ECDICT.exchange,F,
