candidate_id,headword,level_number,topic_id,level_focus,selection_rank,selection_score,status,cefr_levels,ecdict_tags,ecdict_bnc_rank,ecdict_frq_rank,source_coverage,human_review,review_reason
l001_family,family,1,daily_life_people_and_family,core family members and relationships,1,1155,approved,A1,zk gk ielts,200,147,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_parent,parent,1,daily_life_people_and_family,core family members and relationships,2,1152,approved,A1,zk gk ielts,494,327,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_mother,mother,1,daily_life_people_and_family,core family members and relationships,3,1149,approved,A1,zk gk ielts,306,229,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_child,child,1,daily_life_people_and_family,core family members and relationships,4,1137,approved,A1,zk gk ielts,114,115,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_father,father,1,daily_life_people_and_family,core family members and relationships,5,1126,approved,A1,zk gk,364,267,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_son,son,1,daily_life_people_and_family,core family members and relationships,6,1111,approved,A1,zk gk,599,481,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_daughter,daughter,1,daily_life_people_and_family,core family members and relationships,7,1108,approved,A1,zk gk,871,634,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_baby,baby,1,daily_life_people_and_family,core family members and relationships,8,1102,approved,A1,zk gk,869,588,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_brother,brother,1,daily_life_people_and_family,core family members and relationships,9,1102,approved,A1,zk gk,827,614,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_dad,dad,1,daily_life_people_and_family,core family members and relationships,10,1094,approved,A1,zk,1311,1814,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_husband,husband,1,daily_life_people_and_family,core family members and relationships,11,1093,approved,A1,zk gk gre,826,637,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_wife,wife,1,daily_life_people_and_family,core family members and relationships,12,1093,approved,A1,zk gk,531,466,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_sister,sister,1,daily_life_people_and_family,core family members and relationships,13,1089,approved,A1,zk gk,1049,823,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_couple,couple,1,daily_life_people_and_family,core family members and relationships,14,1071,approved,A2,zk gk cet4 ky toefl,727,531,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_married,married,1,daily_life_people_and_family,core family members and relationships,15,1064,approved,A1,gk cet4 cet6 ky,1742,1610,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_adult,adult,1,daily_life_people_and_family,core family members and relationships,16,1061,approved,A1|A2,gk cet4 ky ielts,1236,969,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_person,person,1,daily_life_people_and_family,core family members and relationships,17,1053,approved,A1,zk gk ielts,308,345,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_aunt,aunt,1,daily_life_people_and_family,core family members and relationships,18,1045,approved,A1,zk gk,2569,4166,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_boy,boy,1,daily_life_people_and_family,core family members and relationships,19,1045,approved,A1,zk gk,462,382,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
l001_girl,girl,1,daily_life_people_and_family,core family members and relationships,20,1042,approved,A1,zk gk,362,363,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
