question_id,sense_id,level_number,question_type_id,type_code,example_id,prompt_hint,stem,correct_answer,translation_zh,difficulty,expected_time_ms,is_active,generation_version,human_review,review_status,is_context_hint,context_for_multiple_meaning
q_1_family_n_1_meaning_7e81e31103d2,family_n_1,1,2,2,,Choose the word that matches the meaning.,group consisting of one or two parents and their children,family,家庭；家人,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_family_n_1_context_6e1f3a5cf167,family_n_1,1,2,2,ex_family_n_1_1,根据句子选择目标单词的完整中文释义。,"My family eats dinner together every evening.

句中“family”是什么意思？",family,我的家人每天晚上一起吃晚饭。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_family_n_1_spelling_ce6514aa8700,family_n_1,1,1,1,ex_family_n_1_2,Complete the word using the first-letter hint.,Her f_____ lives in a small apartment.,family,她的家人住在一套小公寓里。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_family_n_1_cloze_b232d2f16391,family_n_1,1,3,3,ex_family_n_1_1,家庭；家人,My ______ eats dinner together every evening.,family,我的家人每天晚上一起吃晚饭。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_parent_n_1_meaning_88d11e09092a,parent_n_1,1,2,2,,Choose the word that matches the meaning.,person’s father or mother,parent,父亲或母亲,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_parent_n_1_context_d107f6ae84bd,parent_n_1,1,2,2,ex_parent_n_1_1,根据句子选择目标单词的完整中文释义。,"Each parent signed the school form.

句中“parent”是什么意思？",parent,每位家长都在学校表格上签了字。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_parent_n_1_spelling_b17160853dab,parent_n_1,1,1,1,ex_parent_n_1_2,Complete the word using the first-letter hint.,A p_____ should listen carefully to a child.,parent,父母应该认真倾听孩子说话。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_parent_n_1_cloze_16dbb989b89f,parent_n_1,1,3,3,ex_parent_n_1_1,父亲或母亲,Each ______ signed the school form.,parent,每位家长都在学校表格上签了字。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_mother_n_1_meaning_b7c3cd9e0081,mother_n_1,1,2,2,,Choose the word that matches the meaning.,female parent of a child or animal; a person who is acting as a mother to a child,mother,母亲；妈妈,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_mother_n_1_context_ddc028372576,mother_n_1,1,2,2,ex_mother_n_1_1,根据句子选择目标单词的完整中文释义。,"His mother works at the local hospital.

句中“mother”是什么意思？",mother,他的母亲在当地医院工作。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_mother_n_1_spelling_a64c115ff0b5,mother_n_1,1,1,1,ex_mother_n_1_2,Complete the word using the first-letter hint.,My m_____ calls me every Sunday.,mother,我妈妈每个星期天给我打电话。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_mother_n_1_cloze_c5303f7fa110,mother_n_1,1,3,3,ex_mother_n_1_1,母亲；妈妈,His ______ works at the local hospital.,mother,他的母亲在当地医院工作。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_child_n_1_meaning_8d7f1c72c343,child_n_1,1,2,2,,Choose the word that matches the meaning.,young human who is not yet an adult,child,儿童；孩子,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_child_n_1_context_0e7f458ee2d8,child_n_1,1,2,2,ex_child_n_1_1,根据句子选择目标单词的完整中文释义。,"The child held his father's hand.

句中“child”是什么意思？",child,那个孩子牵着父亲的手。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_child_n_1_spelling_da8d47d645f8,child_n_1,1,1,1,ex_child_n_1_2,Complete the word using the first-letter hint.,Every c____ needs a safe place to learn.,child,每个孩子都需要一个安全的学习场所。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_child_n_1_cloze_b4ca8daf55e5,child_n_1,1,3,3,ex_child_n_1_1,儿童；孩子,The ______ held his father's hand.,child,那个孩子牵着父亲的手。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_father_n_1_meaning_dd72e7367d9f,father_n_1,1,2,2,,Choose the word that matches the meaning.,male parent of a child or an animal; a person who is acting as the father to a child,father,父亲；爸爸,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_father_n_1_context_552d3e575ce4,father_n_1,1,2,2,ex_father_n_1_1,根据句子选择目标单词的完整中文释义。,"Her father cooks breakfast on weekends.

句中“father”是什么意思？",father,她父亲周末做早餐。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_father_n_1_spelling_b81cddbdb857,father_n_1,1,1,1,ex_father_n_1_2,Complete the word using the first-letter hint.,My f_____ taught me how to ride a bike.,father,我爸爸教我骑自行车。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_father_n_1_cloze_e2749b5286c1,father_n_1,1,3,3,ex_father_n_1_1,父亲；爸爸,Her ______ cooks breakfast on weekends.,father,她父亲周末做早餐。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_son_n_1_meaning_3bae50ac7df9,son_n_1,1,2,2,,Choose the word that matches the meaning.,person’s male child,son,儿子,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_son_n_1_context_f5fbab304ddf,son_n_1,1,2,2,ex_son_n_1_1,根据句子选择目标单词的完整中文释义。,"Their son started school this year.

句中“son”是什么意思？",son,他们的儿子今年开始上学。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_son_n_1_spelling_90ecf0f75c9f,son_n_1,1,1,1,ex_son_n_1_2,Complete the word using the first-letter hint.,She has one s___ and two daughters.,son,她有一个儿子和两个女儿。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_son_n_1_cloze_b3cb82eeccff,son_n_1,1,3,3,ex_son_n_1_1,儿子,Their ______ started school this year.,son,他们的儿子今年开始上学。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_daughter_n_1_meaning_1e6a5e8b4192,daughter_n_1,1,2,2,,Choose the word that matches the meaning.,person’s female child,daughter,女儿,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_daughter_n_1_context_48a5499cfd80,daughter_n_1,1,2,2,ex_daughter_n_1_1,根据句子选择目标单词的完整中文释义。,"His daughter loves reading before bed.

句中“daughter”是什么意思？",daughter,他的女儿喜欢睡前阅读。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_daughter_n_1_spelling_2535cead2a41,daughter_n_1,1,1,1,ex_daughter_n_1_2,Complete the word using the first-letter hint.,Their d_______ is studying at college.,daughter,他们的女儿正在上大学。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_daughter_n_1_cloze_58557b530bd1,daughter_n_1,1,3,3,ex_daughter_n_1_1,女儿,His ______ loves reading before bed.,daughter,他的女儿喜欢睡前阅读。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_baby_n_1_meaning_65fd5b0163e8,baby_n_1,1,2,2,,Choose the word that matches the meaning.,very young child or animal,baby,婴儿,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_baby_n_1_context_7136e1c0b0c6,baby_n_1,1,2,2,ex_baby_n_1_1,根据句子选择目标单词的完整中文释义。,"The baby is sleeping in the bedroom.

句中“baby”是什么意思？",baby,婴儿正在卧室里睡觉。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_baby_n_1_spelling_558ba1ce83b1,baby_n_1,1,1,1,ex_baby_n_1_2,Complete the word using the first-letter hint.,Please hold the b___ carefully.,baby,请小心抱着婴儿。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_baby_n_1_cloze_e26273676869,baby_n_1,1,3,3,ex_baby_n_1_1,婴儿,The ______ is sleeping in the bedroom.,baby,婴儿正在卧室里睡觉。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_brother_n_1_meaning_68522555df9d,brother_n_1,1,2,2,,Choose the word that matches the meaning.,boy or man who has the same parents as another person,brother,兄弟；哥哥；弟弟,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_brother_n_1_context_c1d6f04218fa,brother_n_1,1,2,2,ex_brother_n_1_1,根据句子选择目标单词的完整中文释义。,"My brother is three years younger than me.

句中“brother”是什么意思？",brother,我弟弟比我小三岁。,4.0,15000,T,level_1_5_reviewed_v1,F,approved,T,F
q_1_brother_n_1_spelling_6fe729569d3b,brother_n_1,1,1,1,ex_brother_n_1_2,Complete the word using the first-letter hint.,Her b______ plays basketball after school.,brother,她哥哥放学后打篮球。,4.0,18000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_brother_n_1_cloze_19d3a5713b06,brother_n_1,1,3,3,ex_brother_n_1_1,兄弟；哥哥；弟弟,My ______ is three years younger than me.,brother,我弟弟比我小三岁。,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
q_1_dad_n_1_meaning_b5d6a6294589,dad_n_1,1,2,2,,Choose the word that matches the meaning.,father,dad,爸爸,4.0,12000,T,level_1_5_reviewed_v1,F,approved,F,F
