sense_id,headword,pos,selected_sense_en,definition_en,definition_zh,curriculum_band,cefr_level,vocabulary_role,primary_topic_id,secondary_topics,pronunciation_ipa_us,american_audio_file,ecdict_tags,ecdict_collins,ecdict_bnc_rank,ecdict_frq_rank,source_definition,source_translation,copyright_status,license_review,human_review,review_reason
family_n_1,family,n.,group consisting of one or two parents and their children,group consisting of one or two parents and their children,"家庭, 家人, 族",4.0,A1,foundation,daily_life_people_and_family,,/ˈfæməli/,family_us.mp3,zk gk ielts,5,200,147,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
parent_n_1,parent,n.,person’s father or mother,person’s father or mother,"父母, 父母亲, 根源",4.0,A1,foundation,daily_life_people_and_family,,/ˈperənt/,parent_us.mp3,zk gk ielts,5,494,327,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
mother_n_1,mother,n.,female parent of a child or animal; a person who is acting as a mother to a child,female parent of a child or animal; a person who is acting as a mother to a child,"母亲, 修女院长",4.0,A1,foundation,daily_life_people_and_family,,/ˈmʌðər/,mother_us.mp3,zk gk ielts,5,306,229,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
child_n_1,child,n.,young human who is not yet an adult,young human who is not yet an adult,"孩子, 产物, 追随者",4.0,A1,foundation,daily_life_people_and_family,,/tʃaɪld/,child_us.mp3,zk gk ielts,5,114,115,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
father_n_1,father,n.,male parent of a child or an animal; a person who is acting as the father to a child,male parent of a child or an animal; a person who is acting as the father to a child,"父亲, 祖先, 长辈, 神父, 创始者",4.0,A1,foundation,daily_life_people_and_family,,/ˈfɑːðər/,father_us.mp3,zk gk,5,364,267,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
son_n_1,son,n.,person’s male child,person’s male child,"儿子, 女婿, 子孙",4.0,A1,foundation,daily_life_people_and_family,,/sʌn/,son_us.mp3,zk gk,5,599,481,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
daughter_n_1,daughter,n.,person’s female child,person’s female child,女儿,4.0,A1,foundation,daily_life_people_and_family,,/ˈdɔːtər/,daughter_us.mp3,zk gk,5,871,634,OXFORD_REPO,ECDICT,private_study_only,T,F,
baby_n_1,baby,n.,very young child or animal,very young child or animal,婴孩,4.0,A1,foundation,daily_life_people_and_family,,/ˈbeɪbi/,baby_us.mp3,zk gk,4,869,588,OXFORD_REPO,ECDICT,private_study_only,T,F,
brother_n_1,brother,n.,boy or man who has the same parents as another person,boy or man who has the same parents as another person,兄弟,4.0,A1,foundation,daily_life_people_and_family,,/ˈbrʌðər/,brother_us.mp3,zk gk,5,827,614,OXFORD_REPO,ECDICT,private_study_only,T,F,
dad_n_1,dad,n.,father,father,"爸爸, 爹爹",4.0,A1,foundation,daily_life_people_and_family,,/dæd/,dad_us.mp3,zk,3,1311,1814,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
husband_n_1,husband,n.,the man that somebody is married to; a married man,the man that somebody is married to; a married man,"丈夫, 管理人, 节俭的人",4.0,A1,foundation,daily_life_people_and_family,,/ˈhʌzbənd/,husband_us.mp3,zk gk gre,4,826,637,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
wife_n_1,wife,n.,the woman that somebody is married to; a married woman,the woman that somebody is married to; a married woman,"妻子, 太太, 夫人",4.0,A1,foundation,daily_life_people_and_family,,/waɪf/,wife_us.mp3,zk gk,5,531,466,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
sister_n_1,sister,n.,girl or woman who has the same mother and father as another person,girl or woman who has the same mother and father as another person,"姐妹, 姐, 妹, 护士, 修女",4.0,A1,foundation,daily_life_people_and_family,,/ˈsɪstər/,sister_us.mp3,zk gk,5,1049,823,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
couple_n_1,couple,n.,two people or things,two people or things,"对, 夫妇, 数个",4.0,A2,foundation,daily_life_people_and_family,,/ˈkʌpl/,couple_us.mp3,zk gk cet4 ky toefl,4,727,531,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
married_adj_1,married,adj.,having a husband or wife,having a husband or wife,"已婚的, 婚姻的",4.0,A1,foundation,daily_life_people_and_family,,/ˈmærid/,married_us.mp3,gk cet4 cet6 ky,3,1742,1610,OXFORD_REPO,ECDICT,private_study_only,T,T,ECDICT Chinese field contains multiple glosses; select only the target-sense translation.
