record_type,record_id,headword,previous_human_review,decision,final_definition_en,final_definition_zh,human_review,review_status
word_sense,family_n_1,family,T,approved_with_correction,group consisting of one or two parents and their children,家庭；家人,F,approved
word_sense,parent_n_1,parent,T,approved_with_correction,person’s father or mother,父亲或母亲,F,approved
word_sense,mother_n_1,mother,T,approved_with_correction,female parent of a child or animal; a person who is acting as a mother to a child,母亲；妈妈,F,approved
word_sense,child_n_1,child,T,approved_with_correction,young human who is not yet an adult,儿童；孩子,F,approved
word_sense,father_n_1,father,T,approved_with_correction,male parent of a child or an animal; a person who is acting as the father to a child,父亲；爸爸,F,approved
word_sense,son_n_1,son,T,approved_with_correction,person’s male child,儿子,F,approved
word_sense,daughter_n_1,daughter,F,approved,person’s female child,女儿,F,approved
word_sense,baby_n_1,baby,F,approved_with_correction,very young child or animal,婴儿,F,approved
word_sense,brother_n_1,brother,F,approved_with_correction,boy or man who has the same parents as another person,兄弟；哥哥；弟弟,F,approved
word_sense,dad_n_1,dad,T,approved_with_correction,father,爸爸,F,approved
word_sense,husband_n_1,husband,T,approved_with_correction,the man that somebody is married to; a married man,丈夫,F,approved
word_sense,wife_n_1,wife,T,approved_with_correction,the woman that somebody is married to; a married woman,妻子；太太,F,approved
word_sense,sister_n_1,sister,T,approved_with_correction,girl or woman who has the same mother and father as another person,姐妹；姐姐；妹妹,F,approved
word_sense,couple_n_1,couple,T,approved_with_correction,two people who are married or in a romantic relationship,夫妻；情侣,F,approved
word_sense,married_adj_1,married,T,approved_with_correction,having a husband or wife,已婚的,F,approved
word_sense,adult_n_1,adult,T,approved_with_correction,fully grown person who is legally responsible for their actions,成年人,F,approved
word_sense,person_n_1,person,T,approved_with_correction,human as an individual,人；个人,F,approved
word_sense,aunt_n_1,aunt,T,approved_with_correction,the sister of your father or mother; the wife of your uncle or aunt,姑妈；姨妈；伯母；婶母,F,approved
word_sense,boy_n_1,boy,F,approved,male child or a young male person,男孩,F,approved
word_sense,girl_n_1,girl,T,approved_with_correction,female child,女孩,F,approved
word_sense,marriage_n_1,marriage,T,approved_with_correction,the legal relationship between two people who are married to each other,婚姻,F,approved
word_sense,uncle_n_1,uncle,T,approved_with_correction,the brother of your mother or father; the husband of your aunt or uncle,叔叔；伯伯；舅舅；姨父,F,approved
word_sense,cousin_n_1,cousin,T,approved_with_correction,child of your aunt or uncle,堂兄弟姐妹；表兄弟姐妹,F,approved
word_sense,man_n_1,man,T,approved_with_correction,an adult male human,成年男子,F,approved
word_sense,woman_n_1,woman,T,approved_with_correction,an adult female human,成年女子,F,approved
word_sense,age_n_1,age,T,approved_with_correction,the number of years that a person has lived or a thing has existed,年龄,F,approved
word_sense,relative_n_1,relative,T,approved_with_correction,person who is in the same family as somebody else,亲戚,F,approved
word_sense,grandmother_n_1,grandmother,T,approved_with_correction,the mother of your father or mother,祖母；外祖母,F,approved
word_sense,people_n_1,people,T,approved_with_correction,"human beings; men, women and children",人们,F,approved
word_sense,grandfather_n_1,grandfather,T,approved_with_correction,the father of your father or mother,祖父；外祖父,F,approved
word_sense,friend_n_1,friend,T,approved_with_correction,"person you know well and like, and who is not usually a member of your family",朋友,F,approved
word_sense,kid_n_1,kid,T,approved_with_correction,child or young person,小孩；孩子,F,approved
word_sense,mom_n_1,mom,T,approved,informal terms for a mother,妈妈,F,approved
word_sense,name_n_1,name,T,approved_with_correction,"word or words that a particular person, animal, place or thing is known by",名字；姓名,F,approved
word_sense,young_adj_1,young,T,approved_with_correction,having lived or existed for only a short time; not fully developed,年轻的；年幼的,F,approved
word_sense,grandparent_n_1,grandparent,F,approved_with_correction,the father or mother of your father or mother,祖父母；外祖父母,F,approved
word_sense,old_adj_1,old,T,approved_with_correction,having lived for many years; no longer young,年老的,F,approved
word_sense,partner_n_1,partner,T,approved_with_correction,a person you do an activity with or share a relationship with,搭档；伴侣,F,approved
word_sense,teenager_n_1,teenager,F,approved_with_correction,person who is between 13 and 19 years old,青少年,F,approved
word_sense,twin_n_1,twin,T,approved_with_correction,one of two children born at the same time to the same mother,双胞胎之一,F,approved
word_sense,grandson_n_1,grandson,T,approved_with_correction,a male grandchild,孙子；外孙,F,approved
word_sense,granddaughter_n_1,granddaughter,T,approved_with_correction,a female grandchild,孙女；外孙女,F,approved
word_sense,nephew_n_1,nephew,T,approved_with_correction,a son of your brother or sister,侄子；外甥,F,approved
word_sense,neighbor_n_1,neighbor,T,approved,a person who lives (or is located) near another,邻居,F,approved
word_sense,niece_n_1,niece,T,approved_with_correction,a daughter of your brother or sister,侄女；外甥女,F,approved
word_sense,short_adj_1,short,T,approved_with_correction,having a small height or length,矮的；短的,F,approved
word_sense,grow_v_1,grow,T,approved_with_correction,"to become larger, taller, or more developed",成长；长大,F,approved
word_sense,birth_n_1,birth,T,approved_with_correction,the time when a baby is born; the process of being born,出生,F,approved
word_sense,heavy_adj_1,heavy,T,approved_with_correction,weighing a lot; difficult to lift or move,重的,F,approved
word_sense,strong_adj_1,strong,T,approved_with_correction,"having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.",强壮的,F,approved
word_sense,height_n_1,height,T,approved_with_correction,the measurement of how tall a person or thing is,身高；高度,F,approved
word_sense,face_n_1,face,T,approved_with_correction,"the front part of the head, where the eyes, nose and mouth are",脸；面部,F,approved
word_sense,beautiful_adj_1,beautiful,F,approved,having beauty; giving pleasure to the senses or to the mind,美丽的,F,approved
word_sense,youth_n_1,youth,T,approved_with_correction,"the time of life when a person is young, especially the time before a child becomes an adult",青春时期；年轻时期,F,approved
word_sense,eye_n_1,eye,T,approved_with_correction,either of the two organs on the face that you see with,眼睛,F,approved
word_sense,tall_adj_1,tall,T,approved_with_correction,having a greater than average height,高的,F,approved
word_sense,born_v_1,born,T,approved,brought into life by birth,出生的；天生的,F,approved
word_sense,hair_n_1,hair,T,approved_with_correction,the substance that looks like a mass of fine threads growing on a person's head,头发,F,approved
word_sense,pretty_adj_1,pretty,T,approved_with_correction,attractive without being very beautiful,漂亮的,F,approved
word_sense,thin_adj_1,thin,T,approved_with_correction,having little fat on the body,瘦的,F,approved
word_sense,healthy_adj_1,healthy,T,approved_with_correction,having good health and not likely to become ill,健康的,F,approved
word_sense,weak_adj_1,weak,T,approved_with_correction,not physically strong,虚弱的,F,approved
word_sense,hand_n_1,hand,T,approved_with_correction,"the part of the body at the end of the arm, including the fingers and thumb",手,F,approved
word_sense,foot_n_1,foot,T,approved_with_correction,"the lowest part of the leg, below the ankle, on which a person or an animal stands",脚,F,approved
word_sense,head_n_1,head,T,approved_with_correction,"the part of the body on top of the neck containing the eyes, nose, mouth and brain",头；头部,F,approved
word_sense,body_n_1,body,T,approved_with_correction,the whole physical structure of a human or an animal,身体,F,approved
word_sense,arm_n_1,arm,T,approved_with_correction,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands,手臂,F,approved
word_sense,nose_n_1,nose,T,approved_with_correction,"the part of the face that sticks out above the mouth, used for breathing and smelling things",鼻子,F,approved
word_sense,mouth_n_1,mouth,T,approved_with_correction,"the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening",嘴；口腔,F,approved
word_sense,childhood_n_1,childhood,F,approved_with_correction,the period of somebody’s life when they are a child,童年,F,approved
word_sense,skin_n_1,skin,T,approved_with_correction,the layer of tissue that covers the body,皮肤,F,approved
word_sense,ear_n_1,ear,T,approved_with_correction,either of the organs on the sides of the head that you hear with,耳朵,F,approved
word_sense,leg_n_1,leg,T,approved_with_correction,one of the long parts that connect the feet to the rest of the body,腿,F,approved
word_sense,tooth_n_1,tooth,T,approved_with_correction,any of the hard white structures in the mouth used for biting food,牙齿,F,approved
word_sense,single_adj_1,single,T,approved_with_correction,not married or in a romantic relationship,单身的,F,approved
word_sense,look_n_1,look,T,approved,a person's appearance or the expression on their face,外表；神情,F,approved
word_sense,laugh_v_1,laugh,T,approved_with_correction,to make the sounds and movements of your face that show you think something is funny or silly,笑,F,approved
word_sense,voice_n_1,voice,T,approved_with_correction,the sound or sounds produced through the mouth by a person speaking or singing,嗓音；声音,F,approved
word_sense,smile_v_1,smile,T,approved_with_correction,to make a smile appear on your face,微笑,F,approved
word_sense,appearance_n_1,appearance,T,approved_with_correction,the way that somebody/something looks on the outside; what somebody/something seems to be,外貌；外表,F,approved
word_sense,dead_adj_1,dead,T,approved_with_correction,no longer alive,死的；失去生命的,F,approved
word_sense,male_adj_1,male,T,approved_with_correction,being a man or boy,男性的；雄性的,F,approved
word_sense,female_adj_1,female,T,approved_with_correction,being a woman or a girl,女性的；雌性的,F,approved
word_sense,cute_adj_1,cute,T,approved_with_correction,pretty and attractive,可爱的,F,approved
word_sense,alive_adj_1,alive,T,approved_with_correction,living; not dead,活着的,F,approved
word_sense,handsome_adj_1,handsome,T,approved_with_correction,pleasing in appearance especially by reason of conformity to ideals of form and proportion,英俊的,F,approved
word_sense,elderly_adj_1,elderly,T,approved_with_correction,used as a polite word for ‘old’,年长的；上了年纪的,F,approved
word_sense,pregnant_adj_1,pregnant,T,approved_with_correction,having a baby or young animal developing inside her/its body,怀孕的,F,approved
word_sense,beard_n_1,beard,T,approved_with_correction,the hair growing on the lower part of a man's face,胡须；胡子,F,approved
word_sense,slim_adj_1,slim,T,approved,thin in an attractive or healthy-looking way,苗条的,F,approved
word_sense,care_v_1,care,T,approved_with_correction,to feel that something is important and worth worrying about,关心；在意,F,approved
word_sense,support_v_1,support,T,approved_with_correction,"to help someone emotionally, practically, or financially",支持；帮助,F,approved
word_sense,love_v_1,love,T,approved_with_correction,to have very strong feelings of liking and caring for somebody,爱；喜爱,F,approved
word_sense,help_v_1,help,T,approved_with_correction,to make it easier or possible for somebody to do something by doing something for them or by giving them something that they need,帮助,F,approved
word_sense,live_v_1,live,T,approved_with_correction,to have your home in a particular place,居住,F,approved
word_sense,share_v_1,share,T,approved_with_correction,"to have, use or experience something at the same time as somebody else",分享；共用,F,approved
word_sense,visit_v_1,visit,T,approved_with_correction,to go to see a person or a place for a period of time,拜访；看望,F,approved
word_sense,meet_v_1,meet,T,approved_with_correction,"to come together with someone, either by plan or by chance",见面；遇见,F,approved
word_sense,relationship_n_1,relationship,T,approved_with_correction,"the way in which two people, groups or countries behave towards each other or deal with each other",关系,F,approved
word_sense,remember_v_1,remember,T,approved_with_correction,"to have or keep an image in your memory of an event, a person, a place, etc. from the past",记得；记住,F,approved
word_sense,know_v_1,know,T,approved_with_correction,to have information in your mind as a result of experience or because you have learned or been told it,知道；认识,F,approved
word_sense,nice_adj_1,nice,T,approved_with_correction,pleasant or attractive,友好的；令人愉快的,F,approved
word_sense,kind_adj_1,kind,T,approved_with_correction,"caring about others; gentle, friendly and generous",善良的；体贴的,F,approved
word_sense,respect_v_1,respect,T,approved_with_correction,to have a very good opinion of somebody/something; to admire somebody/something,尊重,F,approved
word_sense,culture_n_1,culture,T,approved_with_correction,"the customs and beliefs, art, way of life and social organization of a particular country or group",文化,F,approved
word_sense,friendly_adj_1,friendly,T,approved_with_correction,behaving in a kind and pleasant way because you like somebody or want to help them,友好的,F,approved
word_sense,community_n_1,community,T,approved_with_correction,"all the people who live in a particular area, country, etc. when talked about as a group",社区,F,approved
word_sense,quiet_adj_1,quiet,T,approved_with_correction,making very little noise,安静的,F,approved
word_sense,role_n_1,role,T,approved,the function or position someone has in a family or group,角色；职责,F,approved
word_sense,trust_n_1,trust,T,approved_with_correction,"the belief that somebody/something is good, sincere, honest, etc. and will not try to harm or trick you",信任,F,approved
word_sense,responsibility_n_1,responsibility,T,approved_with_correction,"duty to deal with or take care of somebody/something, so that you may be blamed if something goes wrong",责任,F,approved
word_sense,active_adj_1,active,T,approved_with_correction,"always busy doing things, especially physical activities",活跃的；积极的,F,approved
word_sense,independent_adj_1,independent,T,approved_with_correction,able to live or act without depending on other people,独立的,F,approved
