id,sense_id,question_type_id,type_code,category,answer_form,word_id,example_id,stem,correct_answer,difficulty,is_active,generation_version,human_review,prompt_hint,translation_zh,expected_time_ms,question_type_key
394ce4ac-7f9c-5b1a-9b10-ad4b9a1d6bce,a21ce8dc-720e-597f-b69f-1230eec33f6a,2,2,new_word,option,b03af018-138b-5e4c-a472-5560a28b9703,,group consisting of one or two parents and their children,family,4.0,true,level_1_5_reviewed_v1,false,Choose the word that matches the meaning.,家庭；家人,12000,meaning_choice
670769cb-bd64-51af-876a-37c72c5f5070,a21ce8dc-720e-597f-b69f-1230eec33f6a,2,2,new_word,option,b03af018-138b-5e4c-a472-5560a28b9703,03921bcb-bedc-5934-9ffe-2dfc1f837789,"My family eats dinner together every evening.

句中“family”是什么意思？",family,4.0,true,level_1_5_reviewed_v1,false,根据句子选择目标单词的完整中文释义。,我的家人每天晚上一起吃晚饭。,15000,reading_comprehension
5237d590-e2d4-5238-91c7-e8d49f6b75aa,a21ce8dc-720e-597f-b69f-1230eec33f6a,1,1,new_word,keyboard,b03af018-138b-5e4c-a472-5560a28b9703,600984ae-dd52-54be-bf83-c038c810af03,Her f_____ lives in a small apartment.,family,4.0,true,level_1_5_reviewed_v1,false,Complete the word using the first-letter hint.,她的家人住在一套小公寓里。,18000,sentence_cloze_typing
78fbc3c7-8ab5-5676-9dd7-7222aaf24832,a21ce8dc-720e-597f-b69f-1230eec33f6a,3,3,new_word,keyboard,b03af018-138b-5e4c-a472-5560a28b9703,03921bcb-bedc-5934-9ffe-2dfc1f837789,My ______ eats dinner together every evening.,family,4.0,true,level_1_5_reviewed_v1,false,家庭；家人,我的家人每天晚上一起吃晚饭。,12000,sentence_cloze_typing
b295d495-39b7-5220-a282-bcb325ea3c99,52f765e5-e468-5d65-9e23-32fe2e05d59a,2,2,new_word,option,c7b71309-71b9-5cda-a712-b4ae6f288c90,,person’s father or mother,parent,4.0,true,level_1_5_reviewed_v1,false,Choose the word that matches the meaning.,父亲或母亲,12000,meaning_choice
30f90ad1-4709-5db5-867b-30d5e8f3b153,52f765e5-e468-5d65-9e23-32fe2e05d59a,2,2,new_word,option,c7b71309-71b9-5cda-a712-b4ae6f288c90,3b8512af-a511-5174-af40-f5218e36eaa1,"Each parent signed the school form.

句中“parent”是什么意思？",parent,4.0,true,level_1_5_reviewed_v1,false,根据句子选择目标单词的完整中文释义。,每位家长都在学校表格上签了字。,15000,reading_comprehension
01da69ce-07f5-595b-ae64-a172c0a0d521,52f765e5-e468-5d65-9e23-32fe2e05d59a,1,1,new_word,keyboard,c7b71309-71b9-5cda-a712-b4ae6f288c90,a1fb9e7f-24a3-5be2-86c7-d14e1f515412,A p_____ should listen carefully to a child.,parent,4.0,true,level_1_5_reviewed_v1,false,Complete the word using the first-letter hint.,父母应该认真倾听孩子说话。,18000,sentence_cloze_typing
84b45e60-bc4b-55e1-b2ba-2407ce29fe82,52f765e5-e468-5d65-9e23-32fe2e05d59a,3,3,new_word,keyboard,c7b71309-71b9-5cda-a712-b4ae6f288c90,3b8512af-a511-5174-af40-f5218e36eaa1,Each ______ signed the school form.,parent,4.0,true,level_1_5_reviewed_v1,false,父亲或母亲,每位家长都在学校表格上签了字。,12000,sentence_cloze_typing
351e925b-bc3e-5015-a843-c7400fd981a0,4f6ac419-d836-541b-ae0d-76642b0975f9,2,2,new_word,option,ee707d60-b7d5-5a2d-918d-5d4a8f88d83d,,female parent of a child or animal; a person who is acting as a mother to a child,mother,4.0,true,level_1_5_reviewed_v1,false,Choose the word that matches the meaning.,母亲；妈妈,12000,meaning_choice
225d4c16-84b4-532c-8a78-3ba9c142623d,4f6ac419-d836-541b-ae0d-76642b0975f9,2,2,new_word,option,ee707d60-b7d5-5a2d-918d-5d4a8f88d83d,4c0fa520-e3bb-59ae-8d7a-b18b888571e3,"His mother works at the local hospital.

句中“mother”是什么意思？",mother,4.0,true,level_1_5_reviewed_v1,false,根据句子选择目标单词的完整中文释义。,他的母亲在当地医院工作。,15000,reading_comprehension
9da5092e-b9a0-5200-a58b-9bf5bcbbc5dc,4f6ac419-d836-541b-ae0d-76642b0975f9,1,1,new_word,keyboard,ee707d60-b7d5-5a2d-918d-5d4a8f88d83d,7f76f350-123c-59ef-9538-60ac3aaa9f59,My m_____ calls me every Sunday.,mother,4.0,true,level_1_5_reviewed_v1,false,Complete the word using the first-letter hint.,我妈妈每个星期天给我打电话。,18000,sentence_cloze_typing
77b7ebdc-c9ad-5419-bc00-610066d7e930,4f6ac419-d836-541b-ae0d-76642b0975f9,3,3,new_word,keyboard,ee707d60-b7d5-5a2d-918d-5d4a8f88d83d,4c0fa520-e3bb-59ae-8d7a-b18b888571e3,His ______ works at the local hospital.,mother,4.0,true,level_1_5_reviewed_v1,false,母亲；妈妈,他的母亲在当地医院工作。,12000,sentence_cloze_typing
6f17598c-b5d6-5d9c-94ef-f66fd7c34b1d,3c6d20e2-e4f3-5afc-8058-e75033bf5972,2,2,new_word,option,9bb02efc-bc28-5080-8bc9-4474df8e0147,,young human who is not yet an adult,child,4.0,true,level_1_5_reviewed_v1,false,Choose the word that matches the meaning.,儿童；孩子,12000,meaning_choice
843123d6-b62d-50fa-a18b-8279d9089012,3c6d20e2-e4f3-5afc-8058-e75033bf5972,2,2,new_word,option,9bb02efc-bc28-5080-8bc9-4474df8e0147,37376f92-58bd-5b78-8686-b2b14b1bbe4b,"The child held his father's hand.

句中“child”是什么意思？",child,4.0,true,level_1_5_reviewed_v1,false,根据句子选择目标单词的完整中文释义。,那个孩子牵着父亲的手。,15000,reading_comprehension
08f7ccc3-62f8-5815-8346-9e88e8b61109,3c6d20e2-e4f3-5afc-8058-e75033bf5972,1,1,new_word,keyboard,9bb02efc-bc28-5080-8bc9-4474df8e0147,85fd4a13-185e-5613-9a40-fdae1d556995,Every c____ needs a safe place to learn.,child,4.0,true,level_1_5_reviewed_v1,false,Complete the word using the first-letter hint.,每个孩子都需要一个安全的学习场所。,18000,sentence_cloze_typing
d1fc2d1c-d831-5e9e-a15a-297223430210,3c6d20e2-e4f3-5afc-8058-e75033bf5972,3,3,new_word,keyboard,9bb02efc-bc28-5080-8bc9-4474df8e0147,37376f92-58bd-5b78-8686-b2b14b1bbe4b,The ______ held his father's hand.,child,4.0,true,level_1_5_reviewed_v1,false,儿童；孩子,那个孩子牵着父亲的手。,12000,sentence_cloze_typing
fa1c698a-17b2-56c4-8b17-a69fda5168fb,3020574e-73de-51f6-a10f-bc5ac51d3680,2,2,new_word,option,980eb914-7cd7-5ffa-8097-bace94f18edf,,male parent of a child or an animal; a person who is acting as the father to a child,father,4.0,true,level_1_5_reviewed_v1,false,Choose the word that matches the meaning.,父亲；爸爸,12000,meaning_choice
c56fa2ad-2847-5a6d-8ef4-3c1913774d70,3020574e-73de-51f6-a10f-bc5ac51d3680,2,2,new_word,option,980eb914-7cd7-5ffa-8097-bace94f18edf,6c1a16bb-113d-584e-8369-39436c51edbd,"Her father cooks breakfast on weekends.

句中“father”是什么意思？",father,4.0,true,level_1_5_reviewed_v1,false,根据句子选择目标单词的完整中文释义。,她父亲周末做早餐。,15000,reading_comprehension
a11ad502-3ba4-5c0e-914c-264cce65b217,3020574e-73de-51f6-a10f-bc5ac51d3680,1,1,new_word,keyboard,980eb914-7cd7-5ffa-8097-bace94f18edf,8ba52a6c-7d74-576f-9e1f-8f6100c2ea63,My f_____ taught me how to ride a bike.,father,4.0,true,level_1_5_reviewed_v1,false,Complete the word using the first-letter hint.,我爸爸教我骑自行车。,18000,sentence_cloze_typing
672860a4-8be9-5e50-af15-35e74d935b4d,3020574e-73de-51f6-a10f-bc5ac51d3680,3,3,new_word,keyboard,980eb914-7cd7-5ffa-8097-bace94f18edf,6c1a16bb-113d-584e-8369-39436c51edbd,Her ______ cooks breakfast on weekends.,father,4.0,true,level_1_5_reviewed_v1,false,父亲；爸爸,她父亲周末做早餐。,12000,sentence_cloze_typing
634d77f6-4e21-56a4-8405-9ec36841c1ca,df621dde-0b01-5bdf-a9b5-6d99ec8cc815,2,2,new_word,option,67b1a04e-7214-510d-ad64-559dbb9af7da,,person’s male child,son,4.0,true,level_1_5_reviewed_v1,false,Choose the word that matches the meaning.,儿子,12000,meaning_choice
