topic,subtopic,ielts_paper_type,band_min,band_max,word_goal,candidate_goal,approx_levels,chinese_learner_priority,notes
Daily Life,people and family,General,4.0,4.0,160,280,1-3,high,Beginner concrete nouns and adjectives for family age appearance relationships and Speaking Part 1.
Daily Life,home and objects,General,4.0,4.0,160,280,4-6,high,Rooms furniture household objects daily routines and concrete home vocabulary.
Daily Life,food and drink,General,4.0,4.0,160,280,7-9,high,Meals cooking food types restaurants and common Speaking Part 1 vocabulary.
Daily Life,time and numbers,General,4.0,4.0,140,240,10-12,high,Days months ordinals duration dates schedules and basic time expressions.
Daily Life,basic actions and verbs,General,4.0,4.0,180,320,13-16,high,Common action verbs needed across topics. Avoid highly polysemous verbs unless manually reviewed.
Daily Life,colours shapes and descriptions,General,4.0,4.0,140,240,17-19,medium,Basic adjectives shapes size colour texture and simple description language.
Daily Life,feelings and emotions,Speaking,4.0,4.0,140,240,20-22,high,Basic emotion and opinion vocabulary for Speaking Part 1 and Part 2.
Daily Life,school and study basics,General,4.0,4.0,140,240,23-25,high,Student teacher class homework exam and school life basics for Chinese learners.
Daily Life,travel and places,Speaking/Listening,4.0,4.0,160,280,26-29,high,Places directions trips hotels transport words and common Listening/Speaking contexts.
Daily Life,shopping and money basics,Listening/Speaking,4.0,4.0,120,220,30-32,medium,Prices payment shops services and Listening Section 1 transaction vocabulary.
Daily Life,body and health basics,Speaking/Listening,4.0,4.0,140,240,33-35,high,Body parts symptoms basic healthcare and doctor-visit listening vocabulary.
Daily Life,animals and nature basics,General,4.0,4.0,120,220,36-38,medium,Common animals plants natural features and beginner-safe nature vocabulary.
Daily Life,weather and seasons,General,4.0,4.0,120,220,39-41,medium,Weather seasons temperature climate basics and common Speaking/Listening vocabulary.
Daily Life,sports and leisure,Speaking,4.0,4.0,140,240,42-44,medium,Hobbies sports entertainment leisure and common Speaking Part 1/2 vocabulary.
Daily Life,transport and getting around,Listening,4.0,4.0,120,220,45-47,medium,Buses trains airports routes directions and public transport listening vocabulary.
Daily Life,numbers and quantity,General,4.0,4.0,120,220,48-50,medium,Measurements quantities comparisons percentages and cross-topic numerical language.
Daily Life,clothes and appearance,Speaking,4.0,4.0,100,180,51-54,low,Clothing appearance style and lower-frequency but concrete Speaking vocabulary.
Education,school systems and structure,Writing/Speaking,4.5,5.0,220,380,55-60,high,Primary secondary curriculum compulsory schooling policy and core Task 2 education terms.
Education,university and higher education,Writing/Speaking,4.5,5.5,220,380,61-66,high,Degree campus tuition graduate admission scholarship and Chinese learner priority terms.
Education,teaching and learning methods,Writing/Speaking,5.0,5.5,220,380,67-72,high,Lecture seminar rote learning critical thinking classroom methods and essay collocations.
Education,exams and assessment,Writing/Reading,4.5,5.5,220,380,73-77,high,Exam assessment grade pressure qualification certificate and test-oriented learner vocabulary.
Education,online and technology in education,Writing/Speaking,5.5,6.0,220,380,78-81,high,E-learning distance learning online classroom educational technology and post-pandemic topics.
Health,medical care and treatment,Reading/Listening,4.5,5.0,220,380,82-87,high,Hospital doctor patient treatment surgery disease prevention and health Reading vocabulary.
Health,diet nutrition and lifestyle,Writing/Speaking,4.5,5.5,220,380,88-93,high,Diet obesity nutrition exercise lifestyle habit and frequent Task 2 health topics.
Health,mental health and wellbeing,Writing/Speaking,5.5,6.0,200,340,94-99,medium,Stress anxiety depression wellbeing pressure and growing IELTS Speaking/Writing area.
Environment,natural world and ecosystems,Reading,4.5,5.0,250,430,100-105,high,Species habitat ecosystem biodiversity wildlife and Academic Reading environment vocabulary.
Environment,climate change and global warming,Writing/Speaking,5.0,6.0,300,520,106-114,high,Emissions carbon warming drought extreme weather and top Task 2 topic in China test prep.
Environment,pollution and waste,Writing/Speaking,5.0,5.5,260,450,115-120,high,Pollution waste recycle contaminate plastic landfill and very frequent essay vocabulary.
Environment,conservation and sustainability,Writing/Reading,5.5,6.5,280,480,121-126,high,Renewable sustainable conservation deforestation resource protection and high-value collocations.
Technology,everyday technology,Speaking/Listening,4.5,5.0,180,310,127-130,high,Devices screens apps internet communication and everyday digital-life vocabulary.
Technology,digital society and internet,Writing/Speaking,5.5,6.5,260,450,131-136,high,Social media privacy data cybercrime online behaviour and very common Task 2 topic.
Technology,science and innovation,Reading/Writing,6.0,7.0,260,450,137-142,high,Innovation breakthrough research artificial intelligence invention and Academic Reading terms.
Technology,automation and future of work,Writing,6.0,7.0,220,380,143-144,high,Automation robotics workforce replacement productivity and high-band future-work arguments.
Work,jobs and career basics,Speaking/Listening,4.5,5.0,220,380,145-150,high,Jobs salary workplace colleague interview and common Speaking Part 1/2 vocabulary.
Work,workplace skills and qualities,Writing/Speaking,5.0,6.0,220,380,151-154,medium,Leadership teamwork communication motivation responsibility and employability collocations.
Work,employment trends,Writing/Reading,6.0,7.0,220,380,155-158,medium,Unemployment flexible work remote work labour market and Task 2 employment vocabulary.
Work,business and entrepreneurship,Writing/Reading,6.0,7.0,200,340,159-162,medium,Company profit market startup investment consumer and business-track IELTS vocabulary.
