sense_id,headword,pos,selected_sense_en,definition_en,definition_zh,ielts_band,cefr_level,active_recognition,primary_topic_id,secondary_topics,mnemonic,root_affix,american_spelling_note,collins_freq,frequency_rank_ecdict,pronunciation_ipa,human_review,notes
family_n_1,family,n.,a group of people related by blood or marriage who live together or support each other,"a group of people who are related to each other, especially parents and their children",家庭；家人,4.0,A1,both,daily_life_people_and_family,society_family_and_social_change,"fam(familiar)+ily → people you know well → 家人",Latin familia (household),,5,150,/ˈfæməli/,F,Primary sense for L1. Both active and recognition. Irregular plural families.
parent_n_1,parent,n.,a father or mother,a person's father or mother,父母（其中一方）,4.0,A1,both,daily_life_people_and_family,daily_life_school_and_study_basics,,Latin parentem (one who brings forth),,4,300,/ˈpærənt/,F,Usually used in plural (parents = father and mother). Derived adj. parental is high-value for essays.
generation_n_1,generation,n.,all people born and living at about the same time,"all the people of about the same age within a family or a society, considered as a group",一代人；一代,4.0,B1,both,daily_life_people_and_family,"society_family_and_social_change,academic_language_academic_nouns","gen(birth/origin)+eration → people born in the same era → 一代人",Latin generare (to beget),,4,500,/ˌdʒenəˈreɪʃn/,F,Cross-topic word essential for family and society Task 2 essays. Teach via family context.
marriage_n_1,marriage,n.,the legal or formal union of two people as partners,"the formal union of two people, recognized by law or custom, making them partners in life",婚姻,4.0,A2,both,daily_life_people_and_family,society_family_and_social_change,,Old French mariage,,3,600,/ˈmærɪdʒ/,F,Note: the verb form is marry not marriage. Teach collocation: arrange a marriage / delay marriage.
relationship_n_1,relationship,n.,the way in which two people are connected and behave toward each other,"the way in which two or more people or groups feel about and behave toward each other",关系（人与人之间）,4.0,B1,both,daily_life_people_and_family,"society_family_and_social_change,academic_language_academic_nouns","re+lation+ship → the connection between people → 关系",Latin relatio (a bringing back),,4,400,/rɪˈleɪʃnʃɪp/,F,Cross-topic high-value word. Also used for object relationships (relationship between A and B).
tradition_n_1,tradition,n.,a belief or behavior passed down within a group over many generations,"a belief, custom, or way of doing something that has existed for a long time and is considered part of a group's culture",传统；惯例,4.0,B1,both,daily_life_people_and_family,"society_family_and_social_change,daily_life_feelings_and_emotions","tradi(pass on)+tion → something passed on → 传统",Latin traditio (a handing over),,3,700,/trəˈdɪʃn/,F,Derived adj. traditional and adv. traditionally are very high frequency in IELTS essays.
role_n_1,role,n.,the function or position someone has in a particular situation,"the position or purpose that someone or something has in a particular situation or activity",角色；作用,4.0,A2,both,daily_life_people_and_family,"society_family_and_social_change,work_workplace_skills_and_qualities",,French rôle (actor's part),,4,350,/roʊl/,T,Polysemous: also means a character in a play or film. Teaching social/family sense here. Avoid questions whose answer is ambiguous between senses.
responsibility_n_1,responsibility,n.,a duty or obligation that you are required to fulfill,"a duty to deal with or take care of something, so that it is your fault if something goes wrong",责任；义务,4.0,B1,both,daily_life_people_and_family,"education_exams_and_assessment,work_workplace_skills_and_qualities","re+spons(to respond)+ibility → ability to respond to a duty → 责任",Latin respondere (to respond),,4,500,/rɪˌspɑːnsəˈbɪlɪti/,F,American pronunciation: /rɪˌspɑːnsəˈbɪlɪti/. Very common in Task 2 essays about family education and work.
elderly_adj_1,elderly,adj.,old (used respectfully of people),"used to describe people who are old, especially in a polite or respectful way",年老的；老年的,4.0,B1,both,daily_life_people_and_family,"health_medical_care_and_treatment,society_family_and_social_change",,Old English eald + -erly suffix,,3,800,/ˈeldərli/,F,Also used as noun (the elderly = elderly people). High frequency in ageing/family Task 2 topics. No comparative/superlative inflection; use more elderly.
independent_adj_1,independent,adj.,not depending on other people for care or financial support,"not needing other people to care for you or provide money for you; able to manage on your own",独立的；自立的,4.0,B1,both,daily_life_people_and_family,"society_family_and_social_change,work_jobs_and_career_basics","in(not)+dependent → not dependent on others → 独立的",Latin dependere (to hang from),,4,450,/ˌɪndɪˈpendənt/,F,Teach alongside noun independence and antonym dependent. Common in life-stages and family essays.
support_v_1,support,v.,to help someone or provide what they need (emotional or financial),"to help someone by showing that you agree with them or care about them, or by giving them money or other help they need",支持；供养；资助,4.0,A2,both,daily_life_people_and_family,"work_jobs_and_career_basics,society_family_and_social_change",,Latin supportare (to carry from below),,5,200,/səˈpɔːrt/,T,Teaching family/emotional/financial sense. Other senses (support an argument / support a weight) to be introduced at later levels. Noun sense support_n_1 to be added.
raise_v_1,raise,v.,to look after a child until they are grown up,"to care for a child until they are an adult, providing food, shelter, education, and emotional guidance",抚养；养育（孩子）,4.0,B1,both,daily_life_people_and_family,society_family_and_social_change,,Old English raeran (to rear),,5,250,/reɪz/,T,Teaching child-rearing sense only. Other senses (raise money / raise a question / raise prices) must be taught at separate levels. Very polysemous — mandatory human review before scaling.
influence_n_1,influence,n.,the power to affect what people do or think,"the power to have an effect on the way someone or something develops, behaves, or thinks",影响；影响力,4.0,B1,both,daily_life_people_and_family,"society_family_and_social_change,academic_language_academic_nouns","in(into)+flu(flow)+ence → something that flows into you and changes you → 影响",Latin influentia (a flowing in),,4,450,/ˈɪnfluəns/,F,Noun sense primary for L2. Verb form influence_v to be introduced at L3 or later. Adj. influential is recognition vocabulary.
community_n_1,community,n.,a group of people living in the same area or sharing common interests,"the people who live in one particular area or who are considered as a unit because of their shared interests, background, or nationality",社区；群体；社会,4.0,B1,both,daily_life_people_and_family,"society_urban_life_and_cities,society_family_and_social_change",,Latin communitas (fellowship),,4,350,/kəˈmjuːnɪti/,F,Cross-topic word appearing in family society urban environment and education contexts.
individual_n_1,individual,n.,a single person considered separately from a group,a single human being as distinct from a group,个人；个体,4.0,B1,both,daily_life_people_and_family,"society_family_and_social_change,academic_language_academic_nouns","in(not)+divid(divide)+ual → one that cannot be divided → 个人",Latin individuus (indivisible),,4,300,/ˌɪndɪˈvɪdʒuəl/,F,Also used as adjective (individual choice). Noun sense primary. Cross-topic: society technology education.
culture_n_1,culture,n.,the customs and beliefs shared by a group of people,"the customs, arts, social institutions, and achievements of a particular nation, people, or group",文化；文明,4.0,B1,both,daily_life_people_and_family,"society_family_and_social_change,academic_language_academic_nouns",,Latin cultura (cultivation),,4,450,/ˈkʌltʃər/,F,Essential word for family and society topics. Derived adj. cultural is very high frequency in IELTS essays.
value_n_1,value,n.,a person's or group's beliefs about what is most important in life (moral values),"the moral principles and beliefs, or accepted standards of a person or social group",价值观；道德标准（常用复数 values）,4.0,B1,both,daily_life_people_and_family,"society_family_and_social_change,academic_language_academic_nouns",,Latin valere (to be strong or worthy),,5,200,/ˈvæljuː/,T,Teaching moral/social sense (values = beliefs). Polysemous: monetary value and verb to value taught separately. Note: plural values is the common form for this sense.
attitude_n_1,attitude,n.,a settled way of thinking or feeling about someone or something,"a way of thinking or feeling about someone or something, typically one that is reflected in a person's behavior",态度；看法；观点,4.0,B1,both,daily_life_people_and_family,"society_family_and_social_change,academic_language_academic_nouns",,French attitude (posture),,4,500,/ˈætɪtuːd/,F,Common collocation: attitude toward/towards something. American form uses toward (not towards). High frequency in Task 2 arguments.
behavior_n_1,behavior,n.,the way a person or animal acts or conducts themselves,"the way in which a person, animal, or substance acts or conducts themselves in a particular context",行为；举止,4.0,B1,both,daily_life_people_and_family,"health_mental_health_and_wellbeing,academic_language_academic_nouns",,Latin behave,,4,350,/bɪˈheɪvjər/,F,American spelling: behavior (British: behaviour). Derived adj: behavioral (American) / behavioural (British). Teach American form only per policy.
conflict_n_1,conflict,n.,a serious disagreement or argument between people or groups,"a serious disagreement or argument between people or groups, especially one that lasts for a long time",冲突；矛盾；争端,4.0,B2,both,daily_life_people_and_family,"society_family_and_social_change,society_crime_and_law",,Latin conflictus (a striking together),,4,550,/ˈkɑːnflɪkt/,T,Teaching interpersonal/family conflict sense. Armed conflict and geopolitical conflict senses taught at later levels. Stress pattern: CONflict (n.) vs conFLICT (v.) — human review for pronunciation teaching.
