gap_id,sense_id,headword,target_pos,online_definition_en,online_pronunciation_ipa,online_example,source_url,source_name,copyright_status,apply_automatically,human_review,review_reason
online_mom_n_1,mom_n_1,mom,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/mom,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_grandson_n_1,grandson_n_1,grandson,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/grandson,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_granddaughter_n_1,granddaughter_n_1,granddaughter,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/granddaughter,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_nephew_n_1,nephew_n_1,nephew,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/nephew,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_neighbor_n_1,neighbor_n_1,neighbor,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/neighbor,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_niece_n_1,niece_n_1,niece,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/niece,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_handsome_adj_1,handsome_adj_1,handsome,adj.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/handsome,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_beard_n_1,beard_n_1,beard,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/beard,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_behavior_n_1,behavior_n_1,behavior,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/behavior,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_stairs_n_1,stairs_n_1,stairs,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/stairs,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_balcony_n_1,balcony_n_1,balcony,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/balcony,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_drawer_n_1,drawer_n_1,drawer,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/drawer,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_wardrobe_n_1,wardrobe_n_1,wardrobe,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/wardrobe,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_sofa_n_1,sofa_n_1,sofa,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/sofa,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_pillow_n_1,pillow_n_1,pillow,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/pillow,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_mattress_n_1,mattress_n_1,mattress,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/mattress,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_refrigerator_n_1,refrigerator_n_1,refrigerator,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/refrigerator,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
online_stove_n_1,stove_n_1,stove,n.,,,,https://api.dictionaryapi.dev/api/v2/entries/en/stove,Free Dictionary API,unknown,F,T,Online lookup failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
