example_id,sense_id,headword,level_number,sentence_en,translation_zh,target_span,origin,difficulty_band,source_evidence_ids,review_status,human_review,review_notes
ex_family_n_1_1,family_n_1,family,1,My family eats dinner together every evening.,我的家人每天晚上一起吃晚饭。,family,human_written,4.0,oxford_family_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_family_n_1_2,family_n_1,family,1,Her family lives in a small apartment.,她的家人住在一套小公寓里。,family,human_written,4.0,oxford_family_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_parent_n_1_1,parent_n_1,parent,1,Each parent signed the school form.,每位家长都在学校表格上签了字。,parent,human_written,4.0,oxford_parent_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_parent_n_1_2,parent_n_1,parent,1,A parent should listen carefully to a child.,父母应该认真倾听孩子说话。,parent,human_written,4.0,oxford_parent_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_mother_n_1_1,mother_n_1,mother,1,His mother works at the local hospital.,他的母亲在当地医院工作。,mother,human_written,4.0,oxford_mother_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_mother_n_1_2,mother_n_1,mother,1,My mother calls me every Sunday.,我妈妈每个星期天给我打电话。,mother,human_written,4.0,oxford_mother_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_child_n_1_1,child_n_1,child,1,The child held his father's hand.,那个孩子牵着父亲的手。,child,human_written,4.0,oxford_child_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_child_n_1_2,child_n_1,child,1,Every child needs a safe place to learn.,每个孩子都需要一个安全的学习场所。,child,human_written,4.0,oxford_child_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_father_n_1_1,father_n_1,father,1,Her father cooks breakfast on weekends.,她父亲周末做早餐。,father,human_written,4.0,oxford_father_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_father_n_1_2,father_n_1,father,1,My father taught me how to ride a bike.,我爸爸教我骑自行车。,father,human_written,4.0,oxford_father_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_son_n_1_1,son_n_1,son,1,Their son started school this year.,他们的儿子今年开始上学。,son,human_written,4.0,oxford_son_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_son_n_1_2,son_n_1,son,1,She has one son and two daughters.,她有一个儿子和两个女儿。,son,human_written,4.0,oxford_son_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_daughter_n_1_1,daughter_n_1,daughter,1,His daughter loves reading before bed.,他的女儿喜欢睡前阅读。,daughter,human_written,4.0,oxford_daughter_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_daughter_n_1_2,daughter_n_1,daughter,1,Their daughter is studying at college.,他们的女儿正在上大学。,daughter,human_written,4.0,oxford_daughter_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_baby_n_1_1,baby_n_1,baby,1,The baby is sleeping in the bedroom.,婴儿正在卧室里睡觉。,baby,human_written,4.0,oxford_baby_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_baby_n_1_2,baby_n_1,baby,1,Please hold the baby carefully.,请小心抱着婴儿。,baby,human_written,4.0,oxford_baby_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_brother_n_1_1,brother_n_1,brother,1,My brother is three years younger than me.,我弟弟比我小三岁。,brother,human_written,4.0,oxford_brother_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_brother_n_1_2,brother_n_1,brother,1,Her brother plays basketball after school.,她哥哥放学后打篮球。,brother,human_written,4.0,oxford_brother_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_dad_n_1_1,dad_n_1,dad,1,My dad drives me to school.,我爸爸开车送我上学。,dad,human_written,4.0,oxford_dad_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_dad_n_1_2,dad_n_1,dad,1,Dad is making tea in the kitchen.,爸爸正在厨房里泡茶。,dad,human_written,4.0,oxford_dad_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_husband_n_1_1,husband_n_1,husband,1,Her husband works from home.,她丈夫在家办公。,husband,human_written,4.0,oxford_husband_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_husband_n_1_2,husband_n_1,husband,1,My husband usually washes the dishes.,我丈夫通常洗碗。,husband,human_written,4.0,oxford_husband_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_wife_n_1_1,wife_n_1,wife,1,His wife teaches English at a college.,他的妻子在一所大学教英语。,wife,human_written,4.0,oxford_wife_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_wife_n_1_2,wife_n_1,wife,1,My wife and I share the housework.,我和妻子分担家务。,wife,human_written,4.0,oxford_wife_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_sister_n_1_1,sister_n_1,sister,1,My sister has long black hair.,我姐姐留着黑色长发。,sister,human_written,4.0,oxford_sister_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_sister_n_1_2,sister_n_1,sister,1,Her sister lives in another city.,她妹妹住在另一个城市。,sister,human_written,4.0,oxford_sister_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_couple_n_1_1,couple_n_1,couple,1,The couple moved into a new house.,这对夫妻搬进了一所新房子。,couple,human_written,4.0,oxford_couple_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_couple_n_1_2,couple_n_1,couple,1,An elderly couple lives next door.,一对老年夫妇住在隔壁。,couple,human_written,4.0,oxford_couple_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_married_adj_1_1,married_adj_1,married,1,They have been married for ten years.,他们已经结婚十年了。,married,human_written,4.0,oxford_married_adj_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_married_adj_1_2,married_adj_1,married,1,My married sister lives in Boston.,我已婚的姐姐住在波士顿。,married,human_written,4.0,oxford_married_adj_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_adult_n_1_1,adult_n_1,adult,1,Every adult needs an identification card.,每个成年人都需要身份证件。,adult,human_written,4.0,oxford_adult_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_adult_n_1_2,adult_n_1,adult,1,An adult must accompany the young child.,必须有成年人陪同这个小孩。,adult,human_written,4.0,oxford_adult_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_person_n_1_1,person_n_1,person,1,Only one person can enter at a time.,每次只能有一个人进入。,person,human_written,4.0,oxford_person_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_person_n_1_2,person_n_1,person,1,She is a kind and honest person.,她是一个善良诚实的人。,person,human_written,4.0,oxford_person_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_aunt_n_1_1,aunt_n_1,aunt,1,My aunt visits us every summer.,我姑妈每年夏天来看我们。,aunt,human_written,4.0,oxford_aunt_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_aunt_n_1_2,aunt_n_1,aunt,1,Her aunt gave her a birthday gift.,她姨妈送了她一份生日礼物。,aunt,human_written,4.0,oxford_aunt_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_boy_n_1_1,boy_n_1,boy,1,The boy is waiting for the school bus.,那个男孩正在等校车。,boy,human_written,4.0,oxford_boy_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_boy_n_1_2,boy_n_1,boy,1,A young boy found the lost key.,一个小男孩找到了丢失的钥匙。,boy,human_written,4.0,oxford_boy_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_girl_n_1_1,girl_n_1,girl,1,The girl smiled at her teacher.,那个女孩对老师微笑。,girl,human_written,4.0,oxford_girl_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_girl_n_1_2,girl_n_1,girl,1,A little girl is playing in the garden.,一个小女孩正在花园里玩。,girl,human_written,4.0,oxford_girl_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_marriage_n_1_1,marriage_n_1,marriage,1,Trust is important in a marriage.,信任在婚姻中很重要。,marriage,human_written,4.0,oxford_marriage_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_marriage_n_1_2,marriage_n_1,marriage,1,Their marriage has lasted for thirty years.,他们的婚姻已经持续了三十年。,marriage,human_written,4.0,oxford_marriage_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_uncle_n_1_1,uncle_n_1,uncle,1,My uncle owns a small restaurant.,我叔叔经营一家小餐馆。,uncle,human_written,4.0,oxford_uncle_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_uncle_n_1_2,uncle_n_1,uncle,1,Her uncle taught her to swim.,她舅舅教她游泳。,uncle,human_written,4.0,oxford_uncle_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_cousin_n_1_1,cousin_n_1,cousin,1,My cousin and I attend the same school.,我表弟和我上同一所学校。,cousin,human_written,4.0,oxford_cousin_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_cousin_n_1_2,cousin_n_1,cousin,1,She visited her cousin during the holiday.,她假期去看望了表姐。,cousin,human_written,4.0,oxford_cousin_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_man_n_1_1,man_n_1,man,1,A tall man opened the door.,一个高个子男人打开了门。,man,human_written,4.0,oxford_man_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_man_n_1_2,man_n_1,man,1,The man carried a heavy box upstairs.,那个男人把一个重箱子搬上楼。,man,human_written,4.0,oxford_man_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
ex_woman_n_1_1,woman_n_1,woman,1,The woman works in our local library.,那位女士在当地的图书馆工作。,woman,human_written,4.0,oxford_woman_n_1,approved,F,"Original American-English sentence; target sense, grammar, mobile length, and Chinese translation reviewed."
