topic_id,topic,subtopic,ielts_paper_type,band_min,band_max,word_goal,candidate_goal,approx_levels,chinese_learner_priority,human_review,notes
daily_life_people_and_family,Daily Life,people and family,General,4.0,4.0,160,280,1-3,high,F,Beginner concrete nouns and adjectives for family age appearance relationships and Speaking Part 1.
daily_life_home_and_objects,Daily Life,home and objects,General,4.0,4.0,160,280,4-6,high,F,Rooms furniture household objects daily routines and concrete home vocabulary.
daily_life_food_and_drink,Daily Life,food and drink,General,4.0,4.0,160,280,7-9,high,F,Meals cooking food types restaurants and common Speaking Part 1 vocabulary.
daily_life_time_and_numbers,Daily Life,time and numbers,General,4.0,4.0,140,240,10-12,high,F,Days months ordinals duration dates schedules and basic time expressions.
daily_life_basic_actions_and_verbs,Daily Life,basic actions and verbs,General,4.0,4.0,180,320,13-16,high,F,Common action verbs needed across topics. Avoid highly polysemous verbs unless manually reviewed.
daily_life_colours_shapes_and_descriptions,Daily Life,colours shapes and descriptions,General,4.0,4.0,140,240,17-19,medium,F,Basic adjectives shapes size colour texture and simple description language.
daily_life_feelings_and_emotions,Daily Life,feelings and emotions,Speaking,4.0,4.0,140,240,20-22,high,F,Basic emotion and opinion vocabulary for Speaking Part 1 and Part 2.
daily_life_school_and_study_basics,Daily Life,school and study basics,General,4.0,4.0,140,240,23-25,high,F,Student teacher class homework exam and school life basics for Chinese learners.
daily_life_travel_and_places,Daily Life,travel and places,Speaking/Listening,4.0,4.0,160,280,26-29,high,F,Places directions trips hotels transport words and common Listening/Speaking contexts.
daily_life_shopping_and_money_basics,Daily Life,shopping and money basics,Listening/Speaking,4.0,4.0,120,220,30-32,medium,F,Prices payment shops services and Listening Section 1 transaction vocabulary.
daily_life_body_and_health_basics,Daily Life,body and health basics,Speaking/Listening,4.0,4.0,140,240,33-35,high,F,Body parts symptoms basic healthcare and doctor-visit listening vocabulary.
daily_life_animals_and_nature_basics,Daily Life,animals and nature basics,General,4.0,4.0,120,220,36-38,medium,F,Common animals plants natural features and beginner-safe nature vocabulary.
daily_life_weather_and_seasons,Daily Life,weather and seasons,General,4.0,4.0,120,220,39-41,medium,F,Weather seasons temperature climate basics and common Speaking/Listening vocabulary.
daily_life_sports_and_leisure,Daily Life,sports and leisure,Speaking,4.0,4.0,140,240,42-44,medium,F,Hobbies sports entertainment leisure and common Speaking Part 1/2 vocabulary.
daily_life_transport_and_getting_around,Daily Life,transport and getting around,Listening,4.0,4.0,120,220,45-47,medium,F,Buses trains airports routes directions and public transport listening vocabulary.
daily_life_numbers_and_quantity,Daily Life,numbers and quantity,General,4.0,4.0,120,220,48-50,medium,F,Measurements quantities comparisons percentages and cross-topic numerical language.
