form_id,headword,base_pos,form_type,form_word,american_note,derived_pos,in_ecdict_exchange,human_review,notes
wf_family_pl,family,n.,plural,families,,n.,s:families,F,Regular -y → -ies plural.
wf_family_adj,family,n.,adjective_derived,familial,,adj.,,F,Less common derived adj. Teach as recognition only.
wf_parent_pl,parent,n.,plural,parents,,n.,s:parents,F,Regular plural.
wf_parent_v,parent,n.,verb_derived,parent,,v.,,F,To parent = to act as a parent. Less common. Recognition only.
wf_parent_adj,parent,n.,adjective_derived,parental,,adj.,,F,Parental responsibility / parental leave. High collocation value.
wf_parent_vger,parent,n.,verb_derived,parenting,,n./v.,,F,Parenting = the activity of raising a child. Common in Task 2 essays.
wf_gen_pl,generation,n.,plural,generations,,n.,s:generations,F,Regular plural.
wf_gen_adj,generation,n.,adjective_derived,generational,,adj.,,F,Generational gap / generational change. Recognition vocabulary.
wf_marriage_pl,marriage,n.,plural,marriages,,n.,s:marriages,F,Regular plural.
wf_marriage_v,marriage,n.,verb_base,marry,,v.,,F,Base verb for marriage. teach separately as marry (v).
wf_marry_3sg,marry,v.,third_sg,marries,,v.,3:marries,F,He/she marries.
wf_marry_past,marry,v.,past_simple,married,,v.,d:married,F,She married him last year.
wf_marry_pp,marry,v.,past_participle,married,,adj./v.,d:married,F,They are married (adj. use).
wf_marry_ppr,marry,v.,pres_participle,marrying,,v.,i:marrying,F,She is marrying next month.
wf_marriage_adj,marriage,n.,adjective_derived,marital,,adj.,,F,Marital status / marital problems. Recognition vocabulary.
wf_rel_pl,relationship,n.,plural,relationships,,n.,s:relationships,F,Regular plural.
wf_rel_v,relationship,n.,verb_base,relate,,v.,,F,Base verb. Relate to = to understand or connect with.
wf_rel_adj,relationship,n.,adjective_derived,related,,adj.,,T,Related = connected. Polysemous (related to family / related to a topic). Review sense boundary.
wf_rel_n2,relationship,n.,noun_derived,relation,,n.,,F,Relation = connection or family member. Teach as separate headword later.
wf_trad_pl,tradition,n.,plural,traditions,,n.,s:traditions,F,Regular plural.
wf_trad_adj,tradition,n.,adjective_derived,traditional,,adj.,,F,Traditional values / traditional family. Very high frequency in IELTS essays.
wf_trad_adv,tradition,n.,adverb_derived,traditionally,,adv.,,F,Traditionally families did X. Common in Task 2 arguments.
wf_role_pl,role,n.,plural,roles,,n.,s:roles,F,Regular plural.
wf_resp_pl,responsibility,n.,plural,responsibilities,,n.,s:responsibilities,F,Regular plural. Note -y → -ies.
