id,topic,subtopic,paper_types,band_min,band_max,word_goal,candidate_goal,chinese_learner_priority,curriculum_version,human_review
daily_life_people_and_family,Daily Life,people and family,"{""General""}",4.0,4.0,160,280,high,1,false
daily_life_home_and_objects,Daily Life,home and objects,"{""General""}",4.0,4.0,160,280,high,1,false
daily_life_food_and_drink,Daily Life,food and drink,"{""General""}",4.0,4.0,160,280,high,1,false
daily_life_time_and_numbers,Daily Life,time and numbers,"{""General""}",4.0,4.0,140,240,high,1,false
daily_life_basic_actions_and_verbs,Daily Life,basic actions and verbs,"{""General""}",4.0,4.0,180,320,high,1,false
daily_life_colours_shapes_and_descriptions,Daily Life,colours shapes and descriptions,"{""General""}",4.0,4.0,140,240,medium,1,false
daily_life_feelings_and_emotions,Daily Life,feelings and emotions,"{""Speaking""}",4.0,4.0,140,240,high,1,false
daily_life_school_and_study_basics,Daily Life,school and study basics,"{""General""}",4.0,4.0,140,240,high,1,false
daily_life_travel_and_places,Daily Life,travel and places,"{""Speaking"",""Listening""}",4.0,4.0,160,280,high,1,false
daily_life_shopping_and_money_basics,Daily Life,shopping and money basics,"{""Listening"",""Speaking""}",4.0,4.0,120,220,medium,1,false
daily_life_body_and_health_basics,Daily Life,body and health basics,"{""Speaking"",""Listening""}",4.0,4.0,140,240,high,1,false
daily_life_animals_and_nature_basics,Daily Life,animals and nature basics,"{""General""}",4.0,4.0,120,220,medium,1,false
daily_life_weather_and_seasons,Daily Life,weather and seasons,"{""General""}",4.0,4.0,120,220,medium,1,false
daily_life_sports_and_leisure,Daily Life,sports and leisure,"{""Speaking""}",4.0,4.0,140,240,medium,1,false
daily_life_transport_and_getting_around,Daily Life,transport and getting around,"{""Listening""}",4.0,4.0,120,220,medium,1,false
daily_life_numbers_and_quantity,Daily Life,numbers and quantity,"{""General""}",4.0,4.0,120,220,medium,1,false
daily_life_clothes_and_appearance,Daily Life,clothes and appearance,"{""Speaking""}",4.0,4.0,100,180,low,1,false
education_school_systems_and_structure,Education,school systems and structure,"{""Writing"",""Speaking""}",4.5,5.0,220,380,high,1,false
education_university_and_higher_education,Education,university and higher education,"{""Writing"",""Speaking""}",4.5,5.5,220,380,high,1,false
education_teaching_and_learning_methods,Education,teaching and learning methods,"{""Writing"",""Speaking""}",5.0,5.5,220,380,high,1,false
education_exams_and_assessment,Education,exams and assessment,"{""Writing"",""Reading""}",4.5,5.5,220,380,high,1,false
education_online_and_technology_in_education,Education,online and technology in education,"{""Writing"",""Speaking""}",5.5,6.0,220,380,high,1,false
health_medical_care_and_treatment,Health,medical care and treatment,"{""Reading"",""Listening""}",4.5,5.0,220,380,high,1,false
health_diet_nutrition_and_lifestyle,Health,diet nutrition and lifestyle,"{""Writing"",""Speaking""}",4.5,5.5,220,380,high,1,false
