todo_id,sense_id,headword,level_number,task_type,required_count,source_evidence_available,instructions,human_review,review_reason,status
examples_family_n_1,family_n_1,family,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_parent_n_1,parent_n_1,parent,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_mother_n_1,mother_n_1,mother,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_child_n_1,child_n_1,child,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_father_n_1,father_n_1,father,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_son_n_1,son_n_1,son,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_daughter_n_1,daughter_n_1,daughter,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_baby_n_1,baby_n_1,baby,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_brother_n_1,brother_n_1,brother,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_dad_n_1,dad_n_1,dad,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_husband_n_1,husband_n_1,husband,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_wife_n_1,wife_n_1,wife,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_sister_n_1,sister_n_1,sister,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_couple_n_1,couple_n_1,couple,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_married_adj_1,married_adj_1,married,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_adult_n_1,adult_n_1,adult,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_person_n_1,person_n_1,person,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_aunt_n_1,aunt_n_1,aunt,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_boy_n_1,boy_n_1,boy,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_girl_n_1,girl_n_1,girl,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_marriage_n_1,marriage_n_1,marriage,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_uncle_n_1,uncle_n_1,uncle,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_cousin_n_1,cousin_n_1,cousin,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_man_n_1,man_n_1,man,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_woman_n_1,woman_n_1,woman,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_age_n_1,age_n_1,age,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_relative_n_1,relative_n_1,relative,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_grandmother_n_1,grandmother_n_1,grandmother,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_people_n_1,people_n_1,people,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_grandfather_n_1,grandfather_n_1,grandfather,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_friend_n_1,friend_n_1,friend,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_kid_n_1,kid_n_1,kid,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_mom_n_1,mom_n_1,mom,1,author_practice_examples,2,F,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_name_n_1,name_n_1,name,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_young_adj_1,young_adj_1,young,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_grandparent_n_1,grandparent_n_1,grandparent,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_old_adj_1,old_adj_1,old,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_partner_n_1,partner_n_1,partner,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_teenager_n_1,teenager_n_1,teenager,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_twin_n_1,twin_n_1,twin,1,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_grandson_n_1,grandson_n_1,grandson,1,author_practice_examples,2,F,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_granddaughter_n_1,granddaughter_n_1,granddaughter,1,author_practice_examples,2,F,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_nephew_n_1,nephew_n_1,nephew,1,author_practice_examples,2,F,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_neighbor_n_1,neighbor_n_1,neighbor,1,author_practice_examples,2,F,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_niece_n_1,niece_n_1,niece,1,author_practice_examples,2,F,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_short_adj_1,short_adj_1,short,2,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_grow_v_1,grow_v_1,grow,2,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_birth_n_1,birth_n_1,birth,2,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_heavy_adj_1,heavy_adj_1,heavy,2,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_strong_adj_1,strong_adj_1,strong,2,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
examples_height_n_1,height_n_1,height,2,author_practice_examples,2,T,"Write two original American-English examples for the selected sense; use source evidence only as usage guidance, not as text to lightly paraphrase.",T,Original examples and Chinese translations require content review.,pending
