collocation_id,sense_id,headword,collocation,source,vocabulary_role,human_review,review_reason
col_father_n_1_1,father_n_1,father,My father died in 2017.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_son_n_1_1,son_n_1,son,their four-year-old son,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_baby_n_1_1,baby_n_1,baby,The baby's crying!,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_brother_n_1_1,brother_n_1,brother,We're brothers.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_dad_n_1_1,dad_n_1,dad,That's my dad over there.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_husband_n_1_1,husband_n_1,husband,This is my husband,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_sister_n_1_1,sister_n_1,sister,She's my sister.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_married_adj_1_1,married_adj_1,married,a married man/woman,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_aunt_n_1_1,aunt_n_1,aunt,Aunt Alice,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_boy_n_1_1,boy_n_1,boy,a little/small/young boy,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_girl_n_1_1,girl_n_1,girl,a little girl of six,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_marriage_n_1_1,marriage_n_1,marriage,a happy/an unhappy marriage,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_uncle_n_1_1,uncle_n_1,uncle,Uncle Ian,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_cousin_n_1_1,cousin_n_1,cousin,She's my cousin.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_man_n_1_1,man_n_1,man,a good-looking young man,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_woman_n_1_1,woman_n_1,woman,a 54-year-old woman,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_relative_n_1_1,relative_n_1,relative,a close/distant relative,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_friend_n_1_1,friend_n_1,friend,This is my friend Tom.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_kid_n_1_1,kid_n_1,kid,Do you have any kids?,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_name_n_1_1,name_n_1,name,What's your name?,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_partner_n_1_1,partner_n_1,partner,a dance/tennis partner,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_teenager_n_1_1,teenager_n_1,teenager,a magazine aimed at teenagers,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_twin_n_1_1,twin_n_1,twin,She's expecting twins.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_short_adj_1_1,short_adj_1,short,He had short curly hair.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_birth_n_1_1,birth_n_1,birth,at birth,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_heavy_adj_1_1,heavy_adj_1,heavy,a heavy weight/load,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_face_n_1_1,face_n_1,face,a pretty/pale/round face,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_beautiful_adj_1_1,beautiful_adj_1,beautiful,a beautiful woman/girl,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_youth_n_1_1,youth_n_1,youth,in somebody's youth,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_tall_adj_1_1,tall_adj_1,tall,She's tall and thin.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_born_v_1_1,born_v_1,born,I was born in 1976.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_hair_n_1_1,hair_n_1,hair,She has long dark hair.,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_pretty_adj_1_1,pretty_adj_1,pretty,a pretty face,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_healthy_adj_1_1,healthy_adj_1,healthy,a healthy child/baby/adult,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_skin_n_1_1,skin_n_1,skin,to have dark/pale skin,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_ear_n_1_1,ear_n_1,ear,the left/right ear,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_look_n_1_1,look_n_1,look,look at somebody/something,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_laugh_v_1_1,laugh_v_1,laugh,to laugh out loud,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
col_smile_v_1_1,smile_v_1,smile,to smile slightly/broadly,OXFORD_REPO.example,foundation,T,Confirm phrase is a useful collocation rather than an example fragment.
