id,word_id,part_of_speech,sense_number,definition_en,definition_zh,vocabulary_role,difficulty_band,cefr_level,register,is_primary,source_id,human_review,review_status
a21ce8dc-720e-597f-b69f-1230eec33f6a,b03af018-138b-5e4c-a472-5560a28b9703,n.,1,group consisting of one or two parents and their children,家庭；家人,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
52f765e5-e468-5d65-9e23-32fe2e05d59a,c7b71309-71b9-5cda-a712-b4ae6f288c90,n.,1,person’s father or mother,父亲或母亲,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
4f6ac419-d836-541b-ae0d-76642b0975f9,ee707d60-b7d5-5a2d-918d-5d4a8f88d83d,n.,1,female parent of a child or animal; a person who is acting as a mother to a child,母亲；妈妈,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
3c6d20e2-e4f3-5afc-8058-e75033bf5972,9bb02efc-bc28-5080-8bc9-4474df8e0147,n.,1,young human who is not yet an adult,儿童；孩子,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
3020574e-73de-51f6-a10f-bc5ac51d3680,980eb914-7cd7-5ffa-8097-bace94f18edf,n.,1,male parent of a child or an animal; a person who is acting as the father to a child,父亲；爸爸,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
df621dde-0b01-5bdf-a9b5-6d99ec8cc815,67b1a04e-7214-510d-ad64-559dbb9af7da,n.,1,person’s male child,儿子,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
c87a4cda-23e1-5c98-8efe-0ec654a4be4c,62ef2aeb-e532-54b6-8a8a-65714fb6b524,n.,1,person’s female child,女儿,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
ea790ea2-3091-590a-9382-4a34110050b5,43647738-b133-5d8a-bd8f-3318808d95f5,n.,1,very young child or animal,婴儿,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
bab89739-8d84-56fd-bae0-7b57f736aa43,e819ed39-0972-5e46-9f6e-a666bd33d521,n.,1,boy or man who has the same parents as another person,兄弟；哥哥；弟弟,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
ab1e57cb-ae3e-580e-a4f3-30f59714de7c,5e796aa6-34f0-567b-8ffe-88798986783e,n.,1,father,爸爸,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
f1d7dd00-b6f5-5c36-8884-74d7a1a5a48b,435264b6-1c58-587e-8a11-0d29278ec391,n.,1,the man that somebody is married to; a married man,丈夫,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
c64a79e5-483d-5352-b614-92ed0ffb6196,02ed640a-e6b4-5ec4-a19a-59b9bc178d75,n.,1,the woman that somebody is married to; a married woman,妻子；太太,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
984a8d58-de7e-54cf-96cf-391d0991b6eb,db2ade4d-7860-50fb-aff3-3ee580817824,n.,1,girl or woman who has the same mother and father as another person,姐妹；姐姐；妹妹,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
464a2429-5933-547e-8a0a-b02f137222c7,8d608264-f4c6-5260-9778-58905566cb06,n.,1,two people who are married or in a romantic relationship,夫妻；情侣,foundation,4.0,A2,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
2581a8bc-9c9d-594a-8d91-454f0788f557,4c9a1056-f128-55d3-be94-90c4d1d97721,adj.,1,having a husband or wife,已婚的,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
409986c8-ffcc-53b7-aace-b384482ff18c,9de3bbdc-b298-5665-8209-eab713778aeb,n.,1,fully grown person who is legally responsible for their actions,成年人,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
e1bcf777-956c-5d38-a71e-250e52b99b59,245d2d61-2f57-571e-96d1-500d63d0d20f,n.,1,human as an individual,人；个人,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
c6e0f7e8-2f18-5d03-b237-ea25fc5107e4,d033c83a-e3c4-5238-bf32-65690bab8769,n.,1,the sister of your father or mother; the wife of your uncle or aunt,姑妈；姨妈；伯母；婶母,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
69792b86-17a5-5f99-9911-cf5c1bd0aa3d,69c047e0-4eb6-5bec-b17d-5c250bb8776f,n.,1,male child or a young male person,男孩,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
458a2405-f0ad-53a0-a1c5-663fbd569b0a,b6567532-9167-5259-8671-370e6fc9effe,n.,1,female child,女孩,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
4c80dff6-1e30-561b-9f6c-6d34609a9b22,960cf6f5-8c18-5420-995f-c32d350ee8ec,n.,1,the legal relationship between two people who are married to each other,婚姻,foundation,4.0,B1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
0befb6d0-3c67-523f-9830-41b1ba30d733,86c33fe3-6a67-5ac9-838f-3ec9459d32ef,n.,1,the brother of your mother or father; the husband of your aunt or uncle,叔叔；伯伯；舅舅；姨父,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
30cf9efc-ebe2-5a85-853c-4789e422407d,6c094c1b-0d76-52a0-b23a-95dbc28ac071,n.,1,child of your aunt or uncle,堂兄弟姐妹；表兄弟姐妹,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
6f670f3e-dc90-5273-967f-5e1d0e4fb54a,5222eec8-3263-5d43-9a1c-66ab518a8235,n.,1,an adult male human,成年男子,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
f9592995-d353-53be-8469-a7ea8dbc5de1,a5add6cd-d6df-551c-945d-db3f197f5196,n.,1,an adult female human,成年女子,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
ec9f082c-42d4-56e9-a7a3-7ad8e038728d,08069a74-67c7-5a93-9cff-eaeb279801d7,n.,1,the number of years that a person has lived or a thing has existed,年龄,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
59201284-fb3a-54a7-9a11-bb0827260e87,5ca7d27e-dad7-58e7-b8b1-9897bd4e9101,n.,1,person who is in the same family as somebody else,亲戚,foundation,4.0,B1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
b9d1927f-8156-53f9-ab7e-a03dd49a3ec8,80fdccb7-9b36-51e4-af3c-08942d5baf86,n.,1,the mother of your father or mother,祖母；外祖母,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
3da1f81f-cbe2-5a81-9acf-5cd9451bf93d,da57db1f-28d2-503f-945e-36678aa6229a,n.,1,"human beings; men, women and children",人们,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
4c1c4ca1-9c12-5d99-9a7a-945083c7efaa,63a7a852-b17f-50b2-b596-030f7a1b7dad,n.,1,the father of your father or mother,祖父；外祖父,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
3f4c9516-cf61-5007-8264-385a2c38c3ca,45937cfa-3396-5908-980c-8023e09ebb79,n.,1,"person you know well and like, and who is not usually a member of your family",朋友,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
0b3f2002-c5a5-52d9-b4ca-c72d24e495a9,845637d6-e9f8-51ca-80b6-b38045e2353b,n.,1,child or young person,小孩；孩子,foundation,4.0,A2,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
90c36f21-c660-586d-844c-44e84b41534f,4bb7f3d5-d530-508b-9972-9105169c390c,n.,1,informal terms for a mother,妈妈,foundation,4.0,,,true,20bba4df-8a16-5e63-b73e-951692d95379,false,approved
dc20cba3-d589-5996-a220-bab69f868f9b,cdfbf235-2779-5e22-b163-78f9b9c46ce3,n.,1,"word or words that a particular person, animal, place or thing is known by",名字；姓名,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
3b4751c0-c42d-58a3-8492-fef90debae3a,18265749-8be3-59a3-a27d-a100f180c535,adj.,1,having lived or existed for only a short time; not fully developed,年轻的；年幼的,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
7b0b962f-ca73-5289-8ab7-b1b27d15b765,8348132d-143f-597a-b92c-400f61838f70,n.,1,the father or mother of your father or mother,祖父母；外祖父母,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
8d767542-c08d-5124-a263-af8ed8093e72,f6d19303-501f-5884-807a-fe16e15e6275,adj.,1,having lived for many years; no longer young,年老的,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
4d9bca1a-6d25-574d-86a9-c33b0a5ad9ff,8d126e0d-7b39-5dda-ab2f-9fe100a0abaf,n.,1,a person you do an activity with or share a relationship with,搭档；伴侣,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
08dd3a2f-4c5f-5224-a479-788cb15b004f,8604dd35-e3fc-542a-b60c-af331a8890d9,n.,1,person who is between 13 and 19 years old,青少年,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
2281d0a2-880f-5a04-8370-dd0703af0688,850bd623-5a93-564d-9f43-1ea7bb5ff93d,n.,1,one of two children born at the same time to the same mother,双胞胎之一,foundation,4.0,A2,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
2ab36c75-6ca0-5b18-912d-66b49c27aca6,eaa173fe-d3da-5905-8b9a-c708616dc66d,n.,1,a male grandchild,孙子；外孙,foundation,4.0,,,true,20bba4df-8a16-5e63-b73e-951692d95379,false,approved
7bead368-6855-512e-b445-1973a2a9ab8a,40b482b7-6a7b-5ad9-9d9a-78e25ce4386e,n.,1,a female grandchild,孙女；外孙女,foundation,4.0,,,true,20bba4df-8a16-5e63-b73e-951692d95379,false,approved
2044a5e1-74c9-5b65-a8cd-d0ff3cdbe70c,a161301c-9b89-53e0-b3cf-fe7acffc2d80,n.,1,a son of your brother or sister,侄子；外甥,foundation,4.0,A2,,true,20bba4df-8a16-5e63-b73e-951692d95379,false,approved
dfd86877-919a-5fa2-a026-bb346e510e25,f3c25cb9-3068-501c-a260-bf84614f3eb2,n.,1,a person who lives (or is located) near another,邻居,foundation,4.0,,,true,20bba4df-8a16-5e63-b73e-951692d95379,false,approved
bead0702-e45d-5604-8202-988dafe1c562,c3dc1d92-e848-50fc-87a4-7e1a8cb4a65e,n.,1,a daughter of your brother or sister,侄女；外甥女,foundation,4.0,A2,,true,20bba4df-8a16-5e63-b73e-951692d95379,false,approved
538f9710-2133-5372-9d79-c0975840a82d,7f0d63b4-1a36-5a19-ab14-9677464ceb23,adj.,1,having a small height or length,矮的；短的,foundation,4.0,A1,,true,b3335777-dc5f-5448-a777-923e6115c08c,false,approved
