level_number,sense_id,placement_type,order_in_level,vocabulary_role,is_required,human_review
1,a21ce8dc-720e-597f-b69f-1230eec33f6a,new,1,foundation,true,false
1,52f765e5-e468-5d65-9e23-32fe2e05d59a,new,2,foundation,true,false
1,4f6ac419-d836-541b-ae0d-76642b0975f9,new,3,foundation,true,false
1,3c6d20e2-e4f3-5afc-8058-e75033bf5972,new,4,foundation,true,false
1,3020574e-73de-51f6-a10f-bc5ac51d3680,new,5,foundation,true,false
1,df621dde-0b01-5bdf-a9b5-6d99ec8cc815,new,6,foundation,true,false
1,c87a4cda-23e1-5c98-8efe-0ec654a4be4c,new,7,foundation,true,false
1,ea790ea2-3091-590a-9382-4a34110050b5,new,8,foundation,true,false
1,bab89739-8d84-56fd-bae0-7b57f736aa43,new,9,foundation,true,false
1,ab1e57cb-ae3e-580e-a4f3-30f59714de7c,new,10,foundation,true,false
1,f1d7dd00-b6f5-5c36-8884-74d7a1a5a48b,new,11,foundation,true,false
1,c64a79e5-483d-5352-b614-92ed0ffb6196,new,12,foundation,true,false
1,984a8d58-de7e-54cf-96cf-391d0991b6eb,new,13,foundation,true,false
1,464a2429-5933-547e-8a0a-b02f137222c7,new,14,foundation,true,false
1,2581a8bc-9c9d-594a-8d91-454f0788f557,new,15,foundation,true,false
1,409986c8-ffcc-53b7-aace-b384482ff18c,new,16,foundation,true,false
1,e1bcf777-956c-5d38-a71e-250e52b99b59,new,17,foundation,true,false
1,c6e0f7e8-2f18-5d03-b237-ea25fc5107e4,new,18,foundation,true,false
1,69792b86-17a5-5f99-9911-cf5c1bd0aa3d,new,19,foundation,true,false
1,458a2405-f0ad-53a0-a1c5-663fbd569b0a,new,20,foundation,true,false
1,4c80dff6-1e30-561b-9f6c-6d34609a9b22,new,21,foundation,true,false
1,0befb6d0-3c67-523f-9830-41b1ba30d733,new,22,foundation,true,false
1,30cf9efc-ebe2-5a85-853c-4789e422407d,new,23,foundation,true,false
1,6f670f3e-dc90-5273-967f-5e1d0e4fb54a,new,24,foundation,true,false
1,f9592995-d353-53be-8469-a7ea8dbc5de1,new,25,foundation,true,false
1,ec9f082c-42d4-56e9-a7a3-7ad8e038728d,new,26,foundation,true,false
1,59201284-fb3a-54a7-9a11-bb0827260e87,new,27,foundation,true,false
1,b9d1927f-8156-53f9-ab7e-a03dd49a3ec8,new,28,foundation,true,false
1,3da1f81f-cbe2-5a81-9acf-5cd9451bf93d,new,29,foundation,true,false
1,4c1c4ca1-9c12-5d99-9a7a-945083c7efaa,new,30,foundation,true,false
1,3f4c9516-cf61-5007-8264-385a2c38c3ca,new,31,foundation,true,false
1,0b3f2002-c5a5-52d9-b4ca-c72d24e495a9,new,32,foundation,true,false
1,90c36f21-c660-586d-844c-44e84b41534f,new,33,foundation,true,false
1,dc20cba3-d589-5996-a220-bab69f868f9b,new,34,foundation,true,false
1,3b4751c0-c42d-58a3-8492-fef90debae3a,new,35,foundation,true,false
1,7b0b962f-ca73-5289-8ab7-b1b27d15b765,new,36,foundation,true,false
1,8d767542-c08d-5124-a263-af8ed8093e72,new,37,foundation,true,false
1,4d9bca1a-6d25-574d-86a9-c33b0a5ad9ff,new,38,foundation,true,false
1,08dd3a2f-4c5f-5224-a479-788cb15b004f,new,39,foundation,true,false
1,2281d0a2-880f-5a04-8370-dd0703af0688,new,40,foundation,true,false
1,2ab36c75-6ca0-5b18-912d-66b49c27aca6,new,41,foundation,true,false
1,7bead368-6855-512e-b445-1973a2a9ab8a,new,42,foundation,true,false
1,2044a5e1-74c9-5b65-a8cd-d0ff3cdbe70c,new,43,foundation,true,false
1,dfd86877-919a-5fa2-a026-bb346e510e25,new,44,foundation,true,false
1,bead0702-e45d-5604-8202-988dafe1c562,new,45,foundation,true,false
2,538f9710-2133-5372-9d79-c0975840a82d,new,1,foundation,true,false
2,52411c24-8286-5f2d-8caf-2e2c3c6a948a,new,2,foundation,true,false
2,56dcf74b-2a92-52cb-a03d-4203ecb35e10,new,3,foundation,true,false
2,04cba3c7-2e01-5920-9389-9d285c7ef90a,new,4,foundation,true,false
2,edeaa218-22a5-5fb1-96ad-d20f771264ec,new,5,foundation,true,false
2,ee9fa651-a20f-58d4-949e-c37d68ce5e16,new,6,foundation,true,false
2,5bafa0f3-f622-58da-ab90-bedc0ea45dd1,new,7,foundation,true,false
2,14c7a9c7-ca1f-5177-9799-bd2e2ddfb43b,new,8,foundation,true,false
2,f1900b28-2319-5819-b280-3b931566c3a2,new,9,foundation,true,false
2,e2ea3ab6-9341-51b3-8d40-ff47c6858f40,new,10,foundation,true,false
2,899cf71a-9d34-55ac-972b-fd2f3cb32203,new,11,foundation,true,false
2,9805e16b-0483-5d86-a2b7-9c9a95d8e8bc,new,12,foundation,true,false
2,6f9ef7f1-5b8f-595d-82e6-b87eb07ba92d,new,13,foundation,true,false
2,02e65940-25cc-5ab2-82f5-766056214ab1,new,14,foundation,true,false
2,619174b4-e9f0-507f-98ae-45d7fc7f7c5c,new,15,foundation,true,false
2,3da62256-c643-5307-9958-89b6f43ba525,new,16,foundation,true,false
2,f8470e60-0e8c-56bd-914e-c557612687d7,new,17,foundation,true,false
2,35493e1c-2884-5b0e-af70-68914b90ef25,new,18,foundation,true,false
2,6e64c985-ff2a-5a01-9124-ecbc3646c82f,new,19,foundation,true,false
2,d1ed4a9c-7842-5414-9de5-8f400b5662f6,new,20,foundation,true,false
2,4d821d2d-3e86-5b54-b816-520d416ff979,new,21,foundation,true,false
2,947e0e3a-a3f0-5bf0-af58-dc9480d04017,new,22,foundation,true,false
