evidence_id,headword,sense_id,quoted_text,matched_span,source_title,source_author,source_publisher,source_url_or_locator,publication_date,topic,usage_analysis,license,copyright_status,human_review,notes
ev_family_1,family,family_n_1,"A family is a group of people related either by consanguinity (by recognized birth) or affinity (by marriage or other relationship).",family,Family,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Family,2024,people and family,Confirms primary sense: group of related people. Natural collocations: family member / family life / start a family.,CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article before use. Attribution required: Wikipedia contributors / CC BY-SA 4.0.
ev_parent_1,parent,parent_n_1,"A parent is a caregiver of the offspring in their own species.",parent,Parent,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Parent,2024,people and family,Confirms primary sense: person responsible for a child. Note: Wikipedia definition is broad (includes biological and adoptive). Natural collocations: single parent / parent-child relationship.,CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article before use. Attribution required: Wikipedia contributors / CC BY-SA 4.0.
ev_generation_1,generation,generation_n_1,"A generation is 'all of the people born and living at about the same time, regarded collectively.'",generation,Generation,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Generation,2024,people and family,"Confirms people-cohort sense. Natural collocations: the younger generation / the older generation / from generation to generation / generation gap. Essay-ready phrase: pass down from one generation to the next.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. The quoted definition may paraphrase Merriam-Webster — verify original wording and attribution chain.
ev_marriage_1,marriage,marriage_n_1,"Marriage, also called matrimony or wedlock, is a culturally and often legally recognized union between people called spouses.",marriage,Marriage,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Marriage,2024,people and family,"Confirms legal/social union sense. Natural collocations: arrange a marriage / delay marriage / traditional marriage / same-sex marriage. Note: Wikipedia article covers many cultural variants — limit teaching to core definition.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Marriage article is frequently edited. Attribution required.
ev_relationship_1,relationship,relationship_n_1,"In human interactions, interpersonal relationships involve social associations, connections, or affiliations between two or more people.",relationship,Interpersonal relationship,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Interpersonal_relationship,2024,people and family,"Confirms interpersonal connection sense. Natural collocations: build a relationship / close relationship / parent-child relationship. Cross-topic: also used for cause-effect relationships in academic writing.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Attribution required: Wikipedia contributors / CC BY-SA 4.0.
ev_tradition_1,tradition,tradition_n_1,"A tradition is a belief or behavior passed down within a group or society with symbolic meaning or special significance with origins in the past.",tradition,Tradition,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Tradition,2024,people and family,"Confirms passed-down belief/behavior sense. Natural collocations: maintain a tradition / break with tradition / family tradition / cultural tradition. Very common in Chinese IELTS essays about family and culture.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Attribution required.
ev_role_1,role,role_n_1,"In sociology, a role is a set of connected behaviors, rights, obligations, beliefs, and norms as conceptualized by people in a social situation.",role,Role,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Role,2024,people and family,"Confirms social-function sense (not theatrical role). Natural collocations: play a role / take on a role / the role of parents. This sense should be taught first; theatrical role introduced later to avoid confusion.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Confirm which sense Wikipedia leads with.
ev_responsibility_1,responsibility,responsibility_n_1,"Responsibility is the state or fact of being accountable to yourself and others for your actions.",responsibility,Moral responsibility,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Moral_responsibility,2024,people and family,"Confirms duty/accountability sense. Natural collocations: take responsibility / share responsibility / a sense of responsibility / parental responsibility. Very high frequency in IELTS Task 2.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text matches current Wikipedia article. Moral responsibility article is philosophy-focused; also check the Responsibility disambiguation page for a simpler source.
ev_elderly_1,elderly,elderly_adj_1,"As people age, their bodies and minds change. The term 'elderly' generally refers to people aged 65 and over.",elderly,Ageing and health,World Health Organization,World Health Organization,https://www.who.int/news-room/fact-sheets/detail/ageing-and-health,2024,people and family,"Confirms age-related adjective sense used respectfully for older people. Natural collocations: elderly people / elderly relatives / care for the elderly / elderly population. Key essay topic: ageing population and family care responsibilities.",public_domain,public_domain,T,WHO content is public domain but verify this specific excerpt appears in the WHO fact sheet. Page content may be updated. Check publication date.
ev_independent_1,independent,independent_adj_1,"Young adults may seek to live independently, away from their parents, as part of establishing their own identity.",independent,Emerging adulthood and early adulthood,Wikipedia contributors,Wikipedia,https://en.wikipedia.org/wiki/Emerging_adulthood_and_early_adulthood,2024,people and family,"Confirms living-independently sense distinct from family. Natural collocations: financially independent / live independently / become independent / independent of parents. Common in family and youth IELTS essays.",CC_BY_SA_4.0,cc_by_sa,T,Verify exact text. The Wikipedia article on emerging adulthood may use different phrasing. Check current article text.
